Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Initial_W,fit.to,fit.to value,First_day,Last_day,N_indiv,Oxycal,T_File,Diet_prop_File,Prey_E_File,PREDEDEQ,Predator_E_File,calc.pop_mort,calc.spawn,calc.contaminant,calc.nut,p-value,Total consumption (g),Final weight (g),Run time (s),OK. Energy budget balanced.
Tue May  1 21:56:03 2018,v1.0.3,/mnt/MSD_128GB/UPwork/interview/Fisheries_app/jim-breck-FB4-ff06626,FB4_Log_File.csv,2,Alewife (yearling),3,Consumption,1,1,1,1,13560,Main Inputs/Temperature.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,1,Main Inputs/Pred_E.csv,FALSE,FALSE,FALSE,FALSE,2.4462,1.000,3.357,0.294,0.000
Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Initial_W,fit.to,fit.to value,First_day,Last_day,N_indiv,Oxycal,T_File,Diet_prop_File,Prey_E_File,PREDEDEQ,Predator_E_File,calc.pop_mort,calc.spawn,calc.contaminant,calc.nut,p-value,Total consumption (g),Final weight (g),Run time (s),OK. Energy budget balanced.,Warning! p-value at lower limit. Model could not fit user-specified final weight.
Tue May  1 21:58:32 2018,v1.0.3,/mnt/MSD_128GB/UPwork/interview/Fisheries_app/jim-breck-FB4-ff06626,FB4_Log_File.csv,2,Alewife (yearling),3,Weight,1,1,5,1,13560,Main Inputs/Temperature.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,1,Main Inputs/Pred_E.csv,FALSE,FALSE,FALSE,FALSE,0.000,0.000,2.764,0.236,0.000,0.000
Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Initial_W,fit.to,fit.to value,First_day,Last_day,N_indiv,Oxycal,T_File,Diet_prop_File,Prey_E_File,PREDEDEQ,Predator_E_File,calc.pop_mort,calc.spawn,calc.contaminant,calc.nut,p-value,Total consumption (g),Final weight (g),Run time (s),OK. Energy budget balanced.
Tue May  1 22:02:47 2018,v1.0.3,/mnt/MSD_128GB/UPwork/interview/Fisheries_app/jim-breck-FB4-ff06626,FB4_Log_File.csv,2,Alewife (yearling),3,Consumption,8,1,5,1,13560,Main Inputs/Temperature.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,1,Main Inputs/Pred_E.csv,FALSE,FALSE,FALSE,FALSE,3.2355,8.000,5.943,0.093,0.000
Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Initial_W,fit.to,fit.to value,First_day,Last_day,N_indiv,Oxycal,T_File,Diet_prop_File,Prey_E_File,PREDEDEQ,Predator_E_File,calc.pop_mort,calc.spawn,calc.contaminant,calc.nut,p-value,Total consumption (g),Final weight (g),Run time (s),OK. Energy budget balanced.
Wed May  2 13:20:19 2018,v1.0.3,/mnt/MSD_128GB/UPwork/interview/Fisheries_app/jim-breck-FB4-ff06626,FB4_Log_File.csv,1,Alewife (adult),1,Weight,5,1,10,1,13560,Main_Inputs/Temperature.csv,Main_Inputs/Diet_prop.csv,Main_Inputs/Prey_E.csv,1,Main_Inputs/Pred_E.csv,FALSE,FALSE,FALSE,FALSE,2.2742,10.849,5.000,0.592,0.000
Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Initial_W,fit.to,fit.to value,First_day,Last_day,N_indiv,Oxycal,T_File,Diet_prop_File,Prey_E_File,PREDEDEQ,Predator_E_File,calc.pop_mort,calc.spawn,calc.contaminant,calc.nut,p-value,Total consumption (g),Final weight (g),Run time (s),OK. Energy budget balanced.
Wed May  2 14:29:20 2018,v1.0.3,/mnt/MSD_128GB/UPwork/interview/Fisheries_app/jim-breck-FB4-ff06626,FB4_Log_File.csv,Alewife (adult),Alewife (adult),1,Weight,5,1,10,1,13560,Main_Inputs/Temperature.csv,Main_Inputs/Diet_prop.csv,Main_Inputs/Prey_E.csv,1,Main_Inputs/Pred_E.csv,FALSE,FALSE,FALSE,FALSE,2.2742,10.849,5.000,0.205,0.000
Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Initial_W,fit.to,fit.to value,First_day,Last_day,N_indiv,Oxycal,T_File,Diet_prop_File,Prey_E_File,PREDEDEQ,Predator_E_File,calc.pop_mort,calc.spawn,calc.contaminant,calc.nut,p-value,Total consumption (g),Final weight (g),Run time (s),OK. Energy budget balanced.
Wed May  2 14:49:26 2018,v1.0.3,/mnt/MSD_128GB/UPwork/interview/Fisheries_app/jim-breck-FB4-ff06626,FB4_Log_File.csv,Alewife (adult),Alewife (adult),1,Weight,5,1,10,1,13560,Main_Inputs/Temperature.csv,Main_Inputs/Diet_prop.csv,Main_Inputs/Prey_E.csv,1,Main_Inputs/Pred_E.csv,FALSE,FALSE,FALSE,FALSE,2.2742,10.849,5.000,0.600,0.000
Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Initial_W,fit.to,fit.to value,First_day,Last_day,N_indiv,Oxycal,T_File,Diet_prop_File,Prey_E_File,PREDEDEQ,Predator_E_File,calc.pop_mort,calc.spawn,calc.contaminant,calc.nut,p-value,Total consumption (g),Final weight (g),Run time (s),OK. Energy budget balanced.
Wed May  2 14:52:57 2018,v1.0.3,/mnt/MSD_128GB/UPwork/interview/Fisheries_app/jim-breck-FB4-ff06626,FB4_Log_File.csv,Alewife (adult),Alewife (adult),1,Weight,5,1,10,1,13560,Main_Inputs/Temperature.csv,Main_Inputs/Diet_prop.csv,Main_Inputs/Prey_E.csv,1,Main_Inputs/Pred_E.csv,FALSE,FALSE,FALSE,FALSE,2.2742,10.849,5.000,0.118,0.000
Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Initial_W,fit.to,fit.to value,First_day,Last_day,N_indiv,Oxycal,T_File,Diet_prop_File,Prey_E_File,PREDEDEQ,Predator_E_File,calc.pop_mort,calc.spawn,calc.contaminant,calc.nut,p-value,Total consumption (g),Final weight (g),Run time (s),OK. Energy budget balanced.
Wed May  2 14:53:07 2018,v1.0.3,/mnt/MSD_128GB/UPwork/interview/Fisheries_app/jim-breck-FB4-ff06626,FB4_Log_File.csv,Alewife (adult),Alewife (adult),1,Weight,5,1,10,1,13560,Main_Inputs/Temperature.csv,Main_Inputs/Diet_prop.csv,Main_Inputs/Prey_E.csv,1,Main_Inputs/Pred_E.csv,FALSE,FALSE,FALSE,FALSE,2.2742,10.849,5.000,0.097,0.000
Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Initial_W,fit.to,fit.to value,First_day,Last_day,N_indiv,Oxycal,T_File,Diet_prop_File,Prey_E_File,PREDEDEQ,Predator_E_File,calc.pop_mort,calc.spawn,calc.contaminant,calc.nut,p-value,Total consumption (g),Final weight (g),Run time (s),OK. Energy budget balanced.
Wed May  2 14:53:21 2018,v1.0.3,/mnt/MSD_128GB/UPwork/interview/Fisheries_app/jim-breck-FB4-ff06626,FB4_Log_File.csv,Alewife (adult),Alewife (adult),1,Weight,5,1,10,1,13560,Main_Inputs/Temperature.csv,Main_Inputs/Diet_prop.csv,Main_Inputs/Prey_E.csv,1,Main_Inputs/Pred_E.csv,FALSE,FALSE,FALSE,FALSE,2.2742,10.849,5.000,0.099,0.000
Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Initial_W,fit.to,fit.to value,First_day,Last_day,N_indiv,Oxycal,T_File,Diet_prop_File,Prey_E_File,PREDEDEQ,Predator_E_File,calc.pop_mort,calc.spawn,calc.contaminant,calc.nut,p-value,Total consumption (g),Final weight (g),Run time (s),OK. Energy budget balanced.
Wed May  2 14:53:21 2018,v1.0.3,/mnt/MSD_128GB/UPwork/interview/Fisheries_app/jim-breck-FB4-ff06626,FB4_Log_File.csv,Alewife (adult),Alewife (adult),1,Weight,5,1,10,1,13560,Main_Inputs/Temperature.csv,Main_Inputs/Diet_prop.csv,Main_Inputs/Prey_E.csv,1,Main_Inputs/Pred_E.csv,FALSE,FALSE,FALSE,FALSE,2.2742,10.849,5.000,0.105,0.000
Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Initial_W,fit.to,fit.to value,First_day,Last_day,N_indiv,Oxycal,T_File,Diet_prop_File,Prey_E_File,PREDEDEQ,Predator_E_File,calc.pop_mort,calc.spawn,calc.contaminant,calc.nut,p-value,Total consumption (g),Final weight (g),Run time (s),OK. Energy budget balanced.
Wed May  2 15:01:26 2018,v1.0.3,/mnt/MSD_128GB/UPwork/interview/Fisheries_app/jim-breck-FB4-ff06626,FB4_Log_File.csv,Alewife (adult),Alewife (adult),1,Weight,5,1,10,1,13560,Main_Inputs/Temperature.csv,Main_Inputs/Diet_prop.csv,Main_Inputs/Prey_E.csv,1,Main_Inputs/Pred_E.csv,FALSE,FALSE,FALSE,FALSE,2.2742,10.849,5.000,0.106,0.000
Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Initial_W,fit.to,fit.to value,First_day,Last_day,N_indiv,Oxycal,T_File,Diet_prop_File,Prey_E_File,PREDEDEQ,Predator_E_File,calc.pop_mort,calc.spawn,calc.contaminant,calc.nut,p-value,Total consumption (g),Final weight (g),Run time (s),OK. Energy budget balanced.
