"","Day","Temperature.C","Weight.g","Simulation"
"1",1,7.7,1.00164242535836,"2015_Early Summer_Kenai River_Chinook_Age_0"
"2",2,8.3,1.00564758936694,"2015_Early Summer_Kenai River_Chinook_Age_0"
"3",3,8.6,1.01096118035496,"2015_Early Summer_Kenai River_Chinook_Age_0"
"4",4,8.4,1.01540681082769,"2015_Early Summer_Kenai River_Chinook_Age_0"
"5",5,9.3,1.02407339797886,"2015_Early Summer_Kenai River_Chinook_Age_0"
"6",6,10.4,1.03857690261448,"2015_Early Summer_Kenai River_Chinook_Age_0"
"7",7,12.1,1.06218987033042,"2015_Early Summer_Kenai River_Chinook_Age_0"
"8",8,14.5,1.09480482148469,"2015_Early Summer_Kenai River_Chinook_Age_0"
"9",9,13.1,1.12374047145849,"2015_Early Summer_Kenai River_Chinook_Age_0"
"10",10,12.9,1.15232520006135,"2015_Early Summer_Kenai River_Chinook_Age_0"
"11",11,13.2,1.18262005201591,"2015_Early Summer_Kenai River_Chinook_Age_0"
"12",12,10.6,1.19961363054261,"2015_Early Summer_Kenai River_Chinook_Age_0"
"13",13,10.4,1.21554194752428,"2015_Early Summer_Kenai River_Chinook_Age_0"
"14",14,11.6,1.23880879242559,"2015_Early Summer_Kenai River_Chinook_Age_0"
"15",15,10.3,1.25442373810332,"2015_Early Summer_Kenai River_Chinook_Age_0"
"16",16,10.2,1.26953188488062,"2015_Early Summer_Kenai River_Chinook_Age_0"
"17",17,12.2,1.29686043419497,"2015_Early Summer_Kenai River_Chinook_Age_0"
"18",18,11.7,1.32167676479526,"2015_Early Summer_Kenai River_Chinook_Age_0"
"19",19,11.7,1.3467855138551,"2015_Early Summer_Kenai River_Chinook_Age_0"
"20",20,11,1.36775631901316,"2015_Early Summer_Kenai River_Chinook_Age_0"
"21",21,11.4,1.39151546016228,"2015_Early Summer_Kenai River_Chinook_Age_0"
"22",22,11.9,1.41866953142685,"2015_Early Summer_Kenai River_Chinook_Age_0"
"23",23,11.2,1.44164553127093,"2015_Early Summer_Kenai River_Chinook_Age_0"
"24",24,11,1.46349379198087,"2015_Early Summer_Kenai River_Chinook_Age_0"
"25",25,12.4,1.49452935348696,"2015_Early Summer_Kenai River_Chinook_Age_0"
"26",26,11.8,1.52226498066296,"2015_Early Summer_Kenai River_Chinook_Age_0"
"27",27,11.9,1.55096778940247,"2015_Early Summer_Kenai River_Chinook_Age_0"
"28",28,11.5,1.57731136185683,"2015_Early Summer_Kenai River_Chinook_Age_0"
"29",29,10.3,1.59526814039554,"2015_Early Summer_Kenai River_Chinook_Age_0"
"30",30,9.7,1.60899555247516,"2015_Early Summer_Kenai River_Chinook_Age_0"
"31",31,10.6,1.62937818929637,"2015_Early Summer_Kenai River_Chinook_Age_0"
"32",32,11.3,1.65508650036349,"2015_Early Summer_Kenai River_Chinook_Age_0"
"33",33,11.1,1.67956200148994,"2015_Early Summer_Kenai River_Chinook_Age_0"
"34",34,12.8,1.71578150306855,"2015_Early Summer_Kenai River_Chinook_Age_0"
"35",35,12.2,1.74872810045902,"2015_Early Summer_Kenai River_Chinook_Age_0"
"36",36,12.1,1.78138131791291,"2015_Early Summer_Kenai River_Chinook_Age_0"
"37",37,12.1,1.81440769139454,"2015_Early Summer_Kenai River_Chinook_Age_0"
"38",38,10.9,1.83867219194597,"2015_Early Summer_Kenai River_Chinook_Age_0"
"39",39,10.3,1.85826598328339,"2015_Early Summer_Kenai River_Chinook_Age_0"
"40",40,10.3,1.87797744241415,"2015_Early Summer_Kenai River_Chinook_Age_0"
"41",41,11,1.90355501080547,"2015_Early Summer_Kenai River_Chinook_Age_0"
"42",42,11.5,1.93337999414794,"2015_Early Summer_Kenai River_Chinook_Age_0"
"43",43,11.6,1.96428089552904,"2015_Early Summer_Kenai River_Chinook_Age_0"
"44",44,12.2,2.00008090134709,"2015_Early Summer_Kenai River_Chinook_Age_0"
"45",1,14,2.04457750526996,"2015_Late Summer_Kenai River_Chinook_Age_0"
"46",2,14.2,2.09051025785304,"2015_Late Summer_Kenai River_Chinook_Age_0"
"47",3,13.4,2.13353107746712,"2015_Late Summer_Kenai River_Chinook_Age_0"
"48",4,14,2.17990839224387,"2015_Late Summer_Kenai River_Chinook_Age_0"
"49",5,13.6,2.2250821438233,"2015_Late Summer_Kenai River_Chinook_Age_0"
"50",6,12.6,2.26475808519241,"2015_Late Summer_Kenai River_Chinook_Age_0"
"51",7,13.3,2.30937146354731,"2015_Late Summer_Kenai River_Chinook_Age_0"
"52",8,13.4,2.35508813069916,"2015_Late Summer_Kenai River_Chinook_Age_0"
"53",9,13.4,2.40135327753908,"2015_Late Summer_Kenai River_Chinook_Age_0"
"54",10,13.3,2.44758424718187,"2015_Late Summer_Kenai River_Chinook_Age_0"
"55",11,12.3,2.48728694295553,"2015_Late Summer_Kenai River_Chinook_Age_0"
"56",12,12.2,2.52655607419988,"2015_Late Summer_Kenai River_Chinook_Age_0"
"57",13,13.3,2.5742336220319,"2015_Late Summer_Kenai River_Chinook_Age_0"
"58",14,13.6,2.6242133037931,"2015_Late Summer_Kenai River_Chinook_Age_0"
"59",15,12.2,2.66475777025833,"2015_Late Summer_Kenai River_Chinook_Age_0"
"60",16,10.8,2.69232484416233,"2015_Late Summer_Kenai River_Chinook_Age_0"
"61",17,10.1,2.71292547344159,"2015_Late Summer_Kenai River_Chinook_Age_0"
"62",18,9.8,2.73058292273956,"2015_Late Summer_Kenai River_Chinook_Age_0"
"63",19,9.2,2.74244224832042,"2015_Late Summer_Kenai River_Chinook_Age_0"
"64",20,9,2.75245475704208,"2015_Late Summer_Kenai River_Chinook_Age_0"
"65",21,10,2.77226708381188,"2015_Late Summer_Kenai River_Chinook_Age_0"
"66",22,10.7,2.79941038223301,"2015_Late Summer_Kenai River_Chinook_Age_0"
"67",23,10.5,2.82460546156119,"2015_Late Summer_Kenai River_Chinook_Age_0"
"68",24,10.4,2.84886893035223,"2015_Late Summer_Kenai River_Chinook_Age_0"
"69",25,10.5,2.87430319344434,"2015_Late Summer_Kenai River_Chinook_Age_0"
"70",26,10.7,2.90199163709229,"2015_Late Summer_Kenai River_Chinook_Age_0"
"71",27,10.6,2.92875358239764,"2015_Late Summer_Kenai River_Chinook_Age_0"
"72",28,10.9,2.95887952108219,"2015_Late Summer_Kenai River_Chinook_Age_0"
"73",29,9.9,2.97835467530923,"2015_Late Summer_Kenai River_Chinook_Age_0"
"74",30,10.1,3.00004710449018,"2015_Late Summer_Kenai River_Chinook_Age_0"
"75",1,13.9,3.89843234261364,"2015_Late Summer_Beaver Creek_Coho_Age_1"
"76",2,13.5,3.89913970711232,"2015_Late Summer_Beaver Creek_Coho_Age_1"
"77",3,13,3.90242713603185,"2015_Late Summer_Beaver Creek_Coho_Age_1"
"78",4,12.7,3.9071151110135,"2015_Late Summer_Beaver Creek_Coho_Age_1"
"79",5,12.7,3.9117976948251,"2015_Late Summer_Beaver Creek_Coho_Age_1"
"80",6,11.9,3.9196553094891,"2015_Late Summer_Beaver Creek_Coho_Age_1"
"81",7,11.5,3.92876222723274,"2015_Late Summer_Beaver Creek_Coho_Age_1"
"82",8,12,3.93626227148676,"2015_Late Summer_Beaver Creek_Coho_Age_1"
"83",9,11.6,3.94507584653652,"2015_Late Summer_Beaver Creek_Coho_Age_1"
"84",10,10.8,3.9557766401704,"2015_Late Summer_Beaver Creek_Coho_Age_1"
"85",11,11,3.96610646438027,"2015_Late Summer_Beaver Creek_Coho_Age_1"
"86",12,12,3.97358790865269,"2015_Late Summer_Beaver Creek_Coho_Age_1"
"87",13,12.3,3.97991646758013,"2015_Late Summer_Beaver Creek_Coho_Age_1"
"88",14,11.6,3.98872207500341,"2015_Late Summer_Beaver Creek_Coho_Age_1"
"89",15,11.4,3.9981013199092,"2015_Late Summer_Beaver Creek_Coho_Age_1"
"90",16,11,4.00843952055651,"2015_Late Summer_Beaver Creek_Coho_Age_1"
"91",17,10.5,4.01959681718105,"2015_Late Summer_Beaver Creek_Coho_Age_1"
"92",18,10.1,4.03108669195009,"2015_Late Summer_Beaver Creek_Coho_Age_1"
"93",19,11.2,4.04098035019723,"2015_Late Summer_Beaver Creek_Coho_Age_1"
"94",20,11.5,4.05007285814018,"2015_Late Summer_Beaver Creek_Coho_Age_1"
"95",21,11.8,4.0582175419821,"2015_Late Summer_Beaver Creek_Coho_Age_1"
"96",22,10.1,4.06972794431036,"2015_Late Summer_Beaver Creek_Coho_Age_1"
