"","Parameter","test_sim","test_sim_2"
"1","--------","********","********"
"2","calc.contaminant","FALSE","FALSE"
"3","calc.nut","FALSE","FALSE"
"4","calc.pop_mort","FALSE","FALSE"
"5","calc.spawn","FALSE","FALSE"
"6","Date-Time","Mon May 14 18:43:02 2018","Mon May 14 18:43:02 2018"
"7","Diet_prop_File","inputs/Main_Inputs//Diet_prop.csv","inputs/Main_Inputs//Diet_prop.csv"
"8","FB4_Log_File","FB4_Log_File.csv","FB4_Log_File.csv"
"9","FB4.File_dir","/mnt/MSD_128GB/UPwork/interview/Fisheries_app/jim-breck-FB4-ff06626","/mnt/MSD_128GB/UPwork/interview/Fisheries_app/jim-breck-FB4-ff06626"
"10","FB4.version","v1.0.3","v1.0.3"
"11","Final weight (g)","5.000","5.000"
"12","First_day","1","1"
"13","fit.to","Weight","Weight"
"14","fit.to value","5","5"
"15","Initial_W","1","2"
"16","Last_day","10","10"
"17","N_indiv","1","1"
"18","OK. Energy budget balanced.","0.000","0.000"
"19","Oxycal","13560","13560"
"20","p-value","2.2742","1.4764"
"21","Predator_E_File","inputs/Main_Inputs/Pred_E.csv","inputs/Main_Inputs/Pred_E.csv"
"22","PREDEDEQ","1","1"
"23","Prey_E_File","inputs/Main_Inputs/Prey_E.csv","inputs/Main_Inputs/Prey_E.csv"
"24","Run time (s)","0.112","0.119"
"25","Species_Num","Alewife (adult)","Alewife (adult)"
"26","Species_txt","Alewife (adult)","Alewife (adult)"
"27","T_File","inputs/Main_Inputs/Temperature.csv","inputs/Main_Inputs/Temperature.csv"
"28","Total consumption (g)","10.849","8.627"
