"","Simulation","Sp","input_folder","fit.to","Init_W","fitting_value","First_day","Last_day","Ind","Oxycal","calc.nut","calc.contaminant","X_Pred","CONTEQ","calc.pop_mort","calc.spawn"
"1","2015_Early Summer_Lower Kenai River_Chinook_Age_0","Chinook salmon (adult)","inputs/chnk/2015_Early Summer_Lower Kenai River_Chinook_Age_0","Weight",1.3709931,1.660589,1,31,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"2","2015_Early Summer_Lower Beaver Creek_Coho_Age_1","Coho salmon (adult)","inputs/coho/2015_Early Summer_Lower Beaver Creek_Coho_Age_1","Weight",3.8584886,4.241751,1,25,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"3","2015_Early Summer_Middle Beaver Creek_Coho_Age_1","Coho salmon (adult)","inputs/coho/2015_Early Summer_Middle Beaver Creek_Coho_Age_1","Weight",5.2129817,5.673064,1,36,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"4","2015_Early Summer_Middle Russian River_Coho_Age_0","Coho salmon (adult)","inputs/coho/2015_Early Summer_Middle Russian River_Coho_Age_0","Weight",1.1239285,1.439018,1,26,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"5","2015_Early Summer_Middle Russian River_Coho_Age_1","Coho salmon (adult)","inputs/coho/2015_Early Summer_Middle Russian River_Coho_Age_1","Weight",4.9591211,8.455798,1,26,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"6","2015_Early Summer_Upper Russian River_Coho_Age_0","Coho salmon (adult)","inputs/coho/2015_Early Summer_Upper Russian River_Coho_Age_0","Weight",0.9862471,1.611731,1,35,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"7","2015_Early Summer_Upper Russian River_Coho_Age_1","Coho salmon (adult)","inputs/coho/2015_Early Summer_Upper Russian River_Coho_Age_1","Weight",3.6828119,7.428955,1,35,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"8","2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1","Coho salmon (adult)","inputs/coho/2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1","Weight",4.2220785,5.041997,1,37,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"9","2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1","Coho salmon (adult)","inputs/coho/2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1","Weight",7.6373639,5.563584,1,37,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
"10","2016_Early Summer_Lower Russian River_Chinook_Age_0","Chinook salmon (adult)","inputs/chnk/2016_Early Summer_Lower Russian River_Chinook_Age_0","Weight",1.3307592,3.216875,1,48,1,13560,"FALSE","FALSE","NA",1,"FALSE","FALSE"
