Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Values_from,Run_Name,Initial_W,fit.to,fit.to.value,First_day,Last_day,N_indiv,Oxycal,p-value,Total consumption (g),Final weight (g),Pop Number,Pop Biomass (g),Cum. Cons. Pop. (g),Run time (s),OK. Energy budget balanced.,T_File,Diet_prop_File,Prey_E_File,EGEQ,Indigestible_Prey,PREDEDEQ,Predator_ED,calc.pop_mort,Mortality_File,calc.spawn,Reproduction_File,calc.contaminant,Prey_conc_File,Contam_assim_File,Contam_trans_eff_File,Init_Pred-conc,Contam_EQ,calc.nut
Tue Jun 28 21:34:11 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_projected.1,FB4_projected_models.csv,21,Chinook salmon (adult),design_projected_new_parameters.csv,mean_pval_rcp60_2030_2039_Lower Beaver Creek_Chinook_Age_0,1.4516947,p-value,0.308417,1,101,1,13560,0.308417,15.354,2.871,1.000,2.871,15.354,0.777,0.000,all_projected_sims/chnk/rcp60_2030_2039_Lower Beaver Creek_Chinook_Age_0/Temperature.csv,all_projected_sims/chnk/rcp60_2030_2039_Lower Beaver Creek_Chinook_Age_0/Diet_prop.csv,all_projected_sims/chnk/rcp60_2030_2039_Lower Beaver Creek_Chinook_Age_0/Prey_E.csv,3,all_projected_sims/chnk/rcp60_2030_2039_Lower Beaver Creek_Chinook_Age_0/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Tue Jun 28 21:34:12 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_projected.1,FB4_projected_models.csv,21,Chinook salmon (adult),design_projected_new_parameters.csv,20plus_pval_rcp60_2030_2039_Lower Beaver Creek_Chinook_Age_0,1.4516947,p-value,0.3701004,1,101,1,13560,0.3701,21.928,4.281,1.000,4.281,21.928,1.668,0.000,all_projected_sims/chnk/rcp60_2030_2039_Lower Beaver Creek_Chinook_Age_0/Temperature.csv,all_projected_sims/chnk/rcp60_2030_2039_Lower Beaver Creek_Chinook_Age_0/Diet_prop.csv,all_projected_sims/chnk/rcp60_2030_2039_Lower Beaver Creek_Chinook_Age_0/Prey_E.csv,3,all_projected_sims/chnk/rcp60_2030_2039_Lower Beaver Creek_Chinook_Age_0/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Tue Jun 28 21:34:16 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_projected.1,FB4_projected_models.csv,21,Chinook salmon (adult),design_projected_new_parameters.csv,20minus_pval_rcp60_2030_2039_Lower Beaver Creek_Chinook_Age_0,1.4516947,p-value,0.2467336,1,101,1,13560,0.246734,10.226,1.825,1.000,1.825,10.226,2.823,0.000,all_projected_sims/chnk/rcp60_2030_2039_Lower Beaver Creek_Chinook_Age_0/Temperature.csv,all_projected_sims/chnk/rcp60_2030_2039_Lower Beaver Creek_Chinook_Age_0/Diet_prop.csv,all_projected_sims/chnk/rcp60_2030_2039_Lower Beaver Creek_Chinook_Age_0/Prey_E.csv,3,all_projected_sims/chnk/rcp60_2030_2039_Lower Beaver Creek_Chinook_Age_0/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Tue Jun 28 21:34:19 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_projected.1,FB4_projected_models.csv,21,Chinook salmon (adult),design_projected_new_parameters.csv,mean_pval_rcp60_2030_2039_Middle Beaver Creek_Chinook_Age_0,1.649657,p-value,0.308417,1,101,1,13560,0.308417,16.660,3.253,1.000,3.253,16.660,2.296,0.000,all_projected_sims/chnk/rcp60_2030_2039_Middle Beaver Creek_Chinook_Age_0/Temperature.csv,all_projected_sims/chnk/rcp60_2030_2039_Middle Beaver Creek_Chinook_Age_0/Diet_prop.csv,all_projected_sims/chnk/rcp60_2030_2039_Middle Beaver Creek_Chinook_Age_0/Prey_E.csv,3,all_projected_sims/chnk/rcp60_2030_2039_Middle Beaver Creek_Chinook_Age_0/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Tue Jun 28 21:34:21 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_projected.1,FB4_projected_models.csv,21,Chinook salmon (adult),design_projected_new_parameters.csv,20plus_pval_rcp60_2030_2039_Middle Beaver Creek_Chinook_Age_0,1.649657,p-value,0.3701004,1,101,1,13560,0.3701,23.652,4.788,1.000,4.788,23.652,2.933,0.000,all_projected_sims/chnk/rcp60_2030_2039_Middle Beaver Creek_Chinook_Age_0/Temperature.csv,all_projected_sims/chnk/rcp60_2030_2039_Middle Beaver Creek_Chinook_Age_0/Diet_prop.csv,all_projected_sims/chnk/rcp60_2030_2039_Middle Beaver Creek_Chinook_Age_0/Prey_E.csv,3,all_projected_sims/chnk/rcp60_2030_2039_Middle Beaver Creek_Chinook_Age_0/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Tue Jun 28 21:34:25 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_projected.1,FB4_projected_models.csv,21,Chinook salmon (adult),design_projected_new_parameters.csv,20minus_pval_rcp60_2030_2039_Middle Beaver Creek_Chinook_Age_0,1.649657,p-value,0.2467336,1,101,1,13560,0.246734,11.167,2.101,1.000,2.101,11.167,2.932,0.000,all_projected_sims/chnk/rcp60_2030_2039_Middle Beaver Creek_Chinook_Age_0/Temperature.csv,all_projected_sims/chnk/rcp60_2030_2039_Middle Beaver Creek_Chinook_Age_0/Diet_prop.csv,all_projected_sims/chnk/rcp60_2030_2039_Middle Beaver Creek_Chinook_Age_0/Prey_E.csv,3,all_projected_sims/chnk/rcp60_2030_2039_Middle Beaver Creek_Chinook_Age_0/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Tue Jun 28 21:34:28 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_projected.1,FB4_projected_models.csv,21,Chinook salmon (adult),design_projected_new_parameters.csv,mean_pval_rcp60_2030_2039_Upper Beaver Creek_Chinook_Age_0,3.0134187,p-value,0.308417,1,101,1,13560,0.308417,23.798,4.885,1.000,4.885,23.798,3.129,0.000,all_projected_sims/chnk/rcp60_2030_2039_Upper Beaver Creek_Chinook_Age_0/Temperature.csv,all_projected_sims/chnk/rcp60_2030_2039_Upper Beaver Creek_Chinook_Age_0/Diet_prop.csv,all_projected_sims/chnk/rcp60_2030_2039_Upper Beaver Creek_Chinook_Age_0/Prey_E.csv,3,all_projected_sims/chnk/rcp60_2030_2039_Upper Beaver Creek_Chinook_Age_0/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Tue Jun 28 21:34:32 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_projected.1,FB4_projected_models.csv,21,Chinook salmon (adult),design_projected_new_parameters.csv,20plus_pval_rcp60_2030_2039_Upper Beaver Creek_Chinook_Age_0,3.0134187,p-value,0.3701004,1,101,1,13560,0.3701,33.059,6.929,1.000,6.929,33.059,2.807,0.000,all_projected_sims/chnk/rcp60_2030_2039_Upper Beaver Creek_Chinook_Age_0/Temperature.csv,all_projected_sims/chnk/rcp60_2030_2039_Upper Beaver Creek_Chinook_Age_0/Diet_prop.csv,all_projected_sims/chnk/rcp60_2030_2039_Upper Beaver Creek_Chinook_Age_0/Prey_E.csv,3,all_projected_sims/chnk/rcp60_2030_2039_Upper Beaver Creek_Chinook_Age_0/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Tue Jun 28 21:34:35 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_projected.1,FB4_projected_models.csv,21,Chinook salmon (adult),design_projected_new_parameters.csv,20minus_pval_rcp60_2030_2039_Upper Beaver Creek_Chinook_Age_0,3.0134187,p-value,0.2467336,1,101,1,13560,0.246734,16.340,3.306,1.000,3.306,16.340,3.165,0.000,all_projected_sims/chnk/rcp60_2030_2039_Upper Beaver Creek_Chinook_Age_0/Temperature.csv,all_projected_sims/chnk/rcp60_2030_2039_Upper Beaver Creek_Chinook_Age_0/Diet_prop.csv,all_projected_sims/chnk/rcp60_2030_2039_Upper Beaver Creek_Chinook_Age_0/Prey_E.csv,3,all_projected_sims/chnk/rcp60_2030_2039_Upper Beaver Creek_Chinook_Age_0/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Tue Jun 28 21:34:38 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_projected.1,FB4_projected_models.csv,22,Coho salmon (adult),design_projected_new_parameters.csv,mean_pval_rcp60_2030_2039_Lower Beaver Creek_Coho_Age_0,1.32879425,p-value,0.305480666666667,1,101,1,13560,0.305481,13.131,2.152,1.000,2.152,13.131,3.157,0.000,all_projected_sims/coho/rcp60_2030_2039_Lower Beaver Creek_Coho_Age_0/Temperature.csv,all_projected_sims/coho/rcp60_2030_2039_Lower Beaver Creek_Coho_Age_0/Diet_prop.csv,all_projected_sims/coho/rcp60_2030_2039_Lower Beaver Creek_Coho_Age_0/Prey_E.csv,3,all_projected_sims/coho/rcp60_2030_2039_Lower Beaver Creek_Coho_Age_0/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
