"day","temperature"
1,"10.27420636"
2,"10.27420636"
3,"10.27420636"
4,"10.27420636"
5,"10.27420636"
6,"10.27420636"
7,"10.27420636"
8,"10.27420636"
9,"10.27420636"
10,"10.27420636"
11,"10.27420636"
12,"10.27420636"
13,"10.27420636"
14,"10.27420636"
15,"10.27420636"
16,"10.27420636"
17,"10.27420636"
18,"10.27420636"
19,"10.27420636"
20,"10.27420636"
21,"10.27420636"
22,"10.27420636"
23,"10.27420636"
24,"10.27420636"
25,"10.27420636"
26,"10.27420636"
27,"11.5659319"
28,"11.5659319"
29,"11.5659319"
30,"11.5659319"
31,"11.5659319"
32,"11.5659319"
33,"11.5659319"
34,"11.5659319"
35,"11.5659319"
36,"11.5659319"
37,"11.5659319"
38,"11.5659319"
39,"11.5659319"
40,"11.5659319"
41,"11.5659319"
42,"11.5659319"
43,"11.5659319"
44,"11.5659319"
45,"11.5659319"
46,"11.5659319"
47,"11.5659319"
48,"11.5659319"
49,"11.5659319"
50,"11.5659319"
51,"11.5659319"
52,"11.5659319"
53,"11.5659319"
54,"11.5659319"
55,"11.5659319"
56,"11.5659319"
57,"11.5659319"
58,"11.0220475"
59,"11.0220475"
60,"11.0220475"
61,"11.0220475"
62,"11.0220475"
63,"11.0220475"
64,"11.0220475"
65,"11.0220475"
66,"11.0220475"
67,"11.0220475"
68,"11.0220475"
69,"11.0220475"
70,"11.0220475"
71,"11.0220475"
72,"11.0220475"
73,"11.0220475"
74,"11.0220475"
75,"11.0220475"
76,"11.0220475"
77,"11.0220475"
78,"11.0220475"
79,"11.0220475"
80,"11.0220475"
81,"11.0220475"
82,"11.0220475"
83,"11.0220475"
84,"11.0220475"
85,"11.0220475"
86,"11.0220475"
87,"11.0220475"
88,"11.0220475"
89,"7.690755929"
90,"7.690755929"
91,"7.690755929"
92,"7.690755929"
93,"7.690755929"
94,"7.690755929"
95,"7.690755929"
96,"7.690755929"
97,"7.690755929"
98,"7.690755929"
99,"7.690755929"
100,"7.690755929"
101,"7.690755929"
102,"7.690755929"
103,"7.690755929"
104,"7.690755929"
105,"7.690755929"
106,"7.690755929"
107,"7.690755929"
108,"7.690755929"
109,"7.690755929"
110,"7.690755929"
111,"7.690755929"
112,"7.690755929"
113,"7.690755929"
114,"7.690755929"
115,"7.690755929"
116,"7.690755929"
117,"7.690755929"
118,"7.690755929"
