"day","temperature"
1,"9.953882071"
2,"9.953882071"
3,"9.953882071"
4,"12.6345846"
5,"12.6345846"
6,"12.6345846"
7,"12.6345846"
8,"12.6345846"
9,"12.6345846"
10,"12.6345846"
11,"12.6345846"
12,"12.6345846"
13,"12.6345846"
14,"12.6345846"
15,"12.6345846"
16,"12.6345846"
17,"12.6345846"
18,"12.6345846"
19,"12.6345846"
20,"12.6345846"
21,"12.6345846"
22,"12.6345846"
23,"12.6345846"
24,"12.6345846"
25,"12.6345846"
26,"12.6345846"
27,"12.6345846"
28,"12.6345846"
29,"12.6345846"
30,"12.6345846"
31,"12.6345846"
32,"12.6345846"
33,"12.6345846"
34,"13.9749362"
35,"13.9749362"
36,"13.9749362"
37,"13.9749362"
38,"13.9749362"
39,"13.9749362"
40,"13.9749362"
41,"13.9749362"
42,"13.9749362"
43,"13.9749362"
44,"13.9749362"
45,"13.9749362"
46,"13.9749362"
47,"13.9749362"
48,"13.9749362"
49,"13.9749362"
50,"13.9749362"
51,"13.9749362"
52,"13.9749362"
53,"13.9749362"
54,"13.9749362"
55,"13.9749362"
56,"13.9749362"
57,"13.9749362"
58,"13.9749362"
59,"13.9749362"
60,"13.9749362"
61,"13.9749362"
62,"13.9749362"
63,"13.9749362"
64,"13.9749362"
65,"13.48112206"
66,"13.48112206"
67,"13.48112206"
68,"13.48112206"
69,"13.48112206"
70,"13.48112206"
71,"13.48112206"
72,"13.48112206"
73,"13.48112206"
74,"13.48112206"
75,"13.48112206"
76,"13.48112206"
77,"13.48112206"
78,"13.48112206"
79,"13.48112206"
80,"13.48112206"
81,"13.48112206"
82,"13.48112206"
83,"13.48112206"
84,"13.48112206"
85,"13.48112206"
86,"13.48112206"
87,"13.48112206"
88,"13.48112206"
89,"13.48112206"
90,"13.48112206"
91,"13.48112206"
92,"13.48112206"
93,"13.48112206"
94,"13.48112206"
95,"13.48112206"
96,"10.5182406"
97,"10.5182406"
98,"10.5182406"
99,"10.5182406"
100,"10.5182406"
101,"10.5182406"
102,"10.5182406"
103,"10.5182406"
104,"10.5182406"
105,"10.5182406"
106,"10.5182406"
107,"10.5182406"
108,"10.5182406"
109,"10.5182406"
110,"10.5182406"
111,"10.5182406"
112,"10.5182406"
113,"10.5182406"
