"day","temperature"
1,"12.38397037"
2,"12.38397037"
3,"12.38397037"
4,"12.38397037"
5,"12.38397037"
6,"12.38397037"
7,"12.38397037"
8,"12.38397037"
9,"12.38397037"
10,"12.38397037"
11,"12.38397037"
12,"12.38397037"
13,"12.38397037"
14,"12.38397037"
15,"12.38397037"
16,"12.38397037"
17,"12.38397037"
18,"12.38397037"
19,"12.38397037"
20,"12.38397037"
21,"12.38397037"
22,"12.38397037"
23,"12.38397037"
24,"12.92232427"
25,"12.92232427"
26,"12.92232427"
27,"12.92232427"
28,"12.92232427"
29,"12.92232427"
30,"12.92232427"
31,"12.92232427"
32,"12.92232427"
33,"12.92232427"
34,"12.92232427"
35,"12.92232427"
36,"12.92232427"
37,"12.92232427"
38,"12.92232427"
39,"12.92232427"
40,"12.92232427"
41,"12.92232427"
42,"12.92232427"
43,"12.92232427"
44,"12.92232427"
45,"12.92232427"
46,"12.92232427"
47,"12.92232427"
48,"12.92232427"
49,"12.92232427"
50,"12.92232427"
51,"12.92232427"
52,"12.92232427"
53,"12.92232427"
54,"12.92232427"
55,"12.76398487"
56,"12.76398487"
57,"12.76398487"
58,"12.76398487"
59,"12.76398487"
60,"12.76398487"
61,"12.76398487"
62,"12.76398487"
63,"12.76398487"
64,"12.76398487"
65,"12.76398487"
66,"12.76398487"
67,"12.76398487"
68,"12.76398487"
69,"12.76398487"
70,"12.76398487"
71,"12.76398487"
72,"12.76398487"
73,"12.76398487"
74,"12.76398487"
75,"12.76398487"
76,"12.76398487"
77,"12.76398487"
78,"12.76398487"
79,"12.76398487"
80,"12.76398487"
81,"12.76398487"
82,"12.76398487"
83,"12.76398487"
84,"12.76398487"
85,"12.76398487"
86,"11.27559457"
87,"11.27559457"
88,"11.27559457"
89,"11.27559457"
90,"11.27559457"
91,"11.27559457"
92,"11.27559457"
93,"11.27559457"
94,"11.27559457"
95,"11.27559457"
96,"11.27559457"
97,"11.27559457"
98,"11.27559457"
99,"11.27559457"
100,"11.27559457"
101,"11.27559457"
102,"11.27559457"
103,"11.27559457"
104,"11.27559457"
105,"11.27559457"
106,"11.27559457"
107,"11.27559457"
108,"11.27559457"
109,"11.27559457"
110,"11.27559457"
111,"11.27559457"
112,"11.27559457"
113,"11.27559457"
114,"11.27559457"
115,"11.27559457"
