"day","temperature"
1,"8.966255142"
2,"8.966255142"
3,"8.966255142"
4,"11.9291366"
5,"11.9291366"
6,"11.9291366"
7,"11.9291366"
8,"11.9291366"
9,"11.9291366"
10,"11.9291366"
11,"11.9291366"
12,"11.9291366"
13,"11.9291366"
14,"11.9291366"
15,"11.9291366"
16,"11.9291366"
17,"11.9291366"
18,"11.9291366"
19,"11.9291366"
20,"11.9291366"
21,"11.9291366"
22,"11.9291366"
23,"11.9291366"
24,"11.9291366"
25,"11.9291366"
26,"11.9291366"
27,"11.9291366"
28,"11.9291366"
29,"11.9291366"
30,"11.9291366"
31,"11.9291366"
32,"11.9291366"
33,"11.9291366"
34,"13.48112206"
35,"13.48112206"
36,"13.48112206"
37,"13.48112206"
38,"13.48112206"
39,"13.48112206"
40,"13.48112206"
41,"13.48112206"
42,"13.48112206"
43,"13.48112206"
44,"13.48112206"
45,"13.48112206"
46,"13.48112206"
47,"13.48112206"
48,"13.48112206"
49,"13.48112206"
50,"13.48112206"
51,"13.48112206"
52,"13.48112206"
53,"13.48112206"
54,"13.48112206"
55,"13.48112206"
56,"13.48112206"
57,"13.48112206"
58,"13.48112206"
59,"13.48112206"
60,"13.48112206"
61,"13.48112206"
62,"13.48112206"
63,"13.48112206"
64,"13.48112206"
65,"12.9873086"
66,"12.9873086"
67,"12.9873086"
68,"12.9873086"
69,"12.9873086"
70,"12.9873086"
71,"12.9873086"
72,"12.9873086"
73,"12.9873086"
74,"12.9873086"
75,"12.9873086"
76,"12.9873086"
77,"12.9873086"
78,"12.9873086"
79,"12.9873086"
80,"12.9873086"
81,"12.9873086"
82,"12.9873086"
83,"12.9873086"
84,"12.9873086"
85,"12.9873086"
86,"12.9873086"
87,"12.9873086"
88,"12.9873086"
89,"12.9873086"
90,"12.9873086"
91,"12.9873086"
92,"12.9873086"
93,"12.9873086"
94,"12.9873086"
95,"12.9873086"
96,"9.883337675"
97,"9.883337675"
98,"9.883337675"
99,"9.883337675"
100,"9.883337675"
101,"9.883337675"
102,"9.883337675"
103,"9.883337675"
104,"9.883337675"
105,"9.883337675"
106,"9.883337675"
107,"9.883337675"
108,"9.883337675"
109,"9.883337675"
110,"9.883337675"
111,"9.883337675"
112,"9.883337675"
113,"9.883337675"
