"day","temperature"
1,"13.48645147"
2,"13.48645147"
3,"13.48645147"
4,"13.48645147"
5,"13.48645147"
6,"13.48645147"
7,"13.48645147"
8,"13.48645147"
9,"13.48645147"
10,"13.48645147"
11,"13.48645147"
12,"13.48645147"
13,"13.48645147"
14,"13.48645147"
15,"13.48645147"
16,"13.48645147"
17,"13.48645147"
18,"13.48645147"
19,"13.48645147"
20,"13.48645147"
21,"14.8925127"
22,"14.8925127"
23,"14.8925127"
24,"14.8925127"
25,"14.8925127"
26,"14.8925127"
27,"14.8925127"
28,"14.8925127"
29,"14.8925127"
30,"14.8925127"
31,"14.8925127"
32,"14.8925127"
33,"14.8925127"
34,"14.8925127"
35,"14.8925127"
36,"14.8925127"
37,"14.8925127"
38,"14.8925127"
39,"14.8925127"
40,"14.8925127"
41,"14.8925127"
42,"14.8925127"
43,"14.8925127"
44,"14.8925127"
45,"14.8925127"
46,"14.8925127"
47,"14.8925127"
48,"14.8925127"
49,"14.8925127"
50,"14.8925127"
51,"14.8925127"
52,"14.22295955"
53,"14.22295955"
54,"14.22295955"
55,"14.22295955"
56,"14.22295955"
57,"14.22295955"
58,"14.22295955"
59,"14.22295955"
60,"14.22295955"
61,"14.22295955"
62,"14.22295955"
63,"14.22295955"
64,"14.22295955"
65,"14.22295955"
66,"14.22295955"
67,"14.22295955"
68,"14.22295955"
69,"14.22295955"
70,"14.22295955"
71,"14.22295955"
72,"14.22295955"
73,"14.22295955"
74,"14.22295955"
75,"14.22295955"
76,"14.22295955"
77,"14.22295955"
78,"14.22295955"
79,"14.22295955"
80,"14.22295955"
81,"14.22295955"
82,"14.22295955"
83,"10.94214936"
84,"10.94214936"
85,"10.94214936"
86,"10.94214936"
87,"10.94214936"
88,"10.94214936"
89,"10.94214936"
90,"10.94214936"
91,"10.94214936"
92,"10.94214936"
93,"10.94214936"
94,"10.94214936"
95,"10.94214936"
96,"10.94214936"
97,"10.94214936"
98,"10.94214936"
99,"10.94214936"
100,"10.94214936"
101,"10.94214936"
102,"10.94214936"
103,"10.94214936"
104,"10.94214936"
105,"10.94214936"
106,"10.94214936"
107,"10.94214936"
108,"10.94214936"
109,"10.94214936"
110,"10.94214936"
111,"10.94214936"
112,"10.94214936"
