"day","temperature"
1,"10.72032979"
2,"10.72032979"
3,"10.72032979"
4,"10.72032979"
5,"10.72032979"
6,"10.72032979"
7,"10.72032979"
8,"10.72032979"
9,"10.72032979"
10,"10.72032979"
11,"10.72032979"
12,"10.72032979"
13,"10.72032979"
14,"10.72032979"
15,"10.72032979"
16,"10.72032979"
17,"10.72032979"
18,"10.72032979"
19,"10.72032979"
20,"10.72032979"
21,"10.72032979"
22,"10.72032979"
23,"10.72032979"
24,"10.72032979"
25,"10.72032979"
26,"10.72032979"
27,"10.72032979"
28,"10.72032979"
29,"10.72032979"
30,"12.53114742"
31,"12.53114742"
32,"12.53114742"
33,"12.53114742"
34,"12.53114742"
35,"12.53114742"
36,"12.53114742"
37,"12.53114742"
38,"12.53114742"
39,"12.53114742"
40,"12.53114742"
41,"12.53114742"
42,"12.53114742"
43,"12.53114742"
44,"12.53114742"
45,"12.53114742"
46,"12.53114742"
47,"12.53114742"
48,"12.53114742"
49,"12.53114742"
50,"12.53114742"
51,"12.53114742"
52,"12.53114742"
53,"12.53114742"
54,"12.53114742"
55,"12.53114742"
56,"12.53114742"
57,"12.53114742"
58,"12.53114742"
59,"12.53114742"
60,"12.53114742"
61,"11.80682037"
62,"11.80682037"
63,"11.80682037"
64,"11.80682037"
65,"11.80682037"
66,"11.80682037"
67,"11.80682037"
68,"11.80682037"
69,"11.80682037"
70,"11.80682037"
71,"11.80682037"
72,"11.80682037"
73,"11.80682037"
74,"11.80682037"
75,"11.80682037"
76,"11.80682037"
77,"11.80682037"
78,"11.80682037"
79,"11.80682037"
80,"11.80682037"
81,"11.80682037"
82,"11.80682037"
83,"11.80682037"
84,"11.80682037"
85,"11.80682037"
86,"11.80682037"
87,"11.80682037"
88,"11.80682037"
89,"11.80682037"
90,"11.80682037"
91,"11.80682037"
92,"8.909512159"
93,"8.909512159"
94,"8.909512159"
95,"8.909512159"
96,"8.909512159"
97,"8.909512159"
98,"8.909512159"
99,"8.909512159"
100,"8.909512159"
101,"8.909512159"
102,"8.909512159"
103,"8.909512159"
104,"8.909512159"
105,"8.909512159"
106,"8.909512159"
107,"8.909512159"
108,"8.909512159"
109,"8.909512159"
110,"8.909512159"
111,"8.909512159"
112,"8.909512159"
113,"8.909512159"
114,"8.909512159"
115,"8.909512159"
116,"8.909512159"
117,"8.909512159"
118,"8.909512159"
119,"8.909512159"
120,"8.909512159"
121,"8.909512159"
