"NRun","Run_Name","Species_Num","Species_txt","Initial_W","fit.to","fit.to.value","First_day","Last_day","N_indiv","Oxycal","calc.pop_mort","calc.spawn","calc.nut","calc.contaminant","Init_pred_conc","contam_eq","T_File","Diet_File","Prey_E_File","Indigest_Prey_File","Pred_E_File","Mort_File","Reprod_File","Contam_Prey_C_File","Contam_assim_File","Contam_TE_File","Phos_Ae_File","Phos_Co_Pred_File","Phos_Co_Prey_File","Nit_Ae_File","Nit_Co_Pred_File","Nit_Co_Prey_File","FB4_Log_File"
1,"2015_Early Summer_Lower Kenai River_Chinook_Age_0","21","Chinook salmon (adult)",1.3709931,"Weight",1.660589,1,31,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","chnk/2015_Early Summer_Lower Kenai River_Chinook_Age_0/Temperature.csv","chnk/2015_Early Summer_Lower Kenai River_Chinook_Age_0/Diet_prop.csv","chnk/2015_Early Summer_Lower Kenai River_Chinook_Age_0/Prey_E.csv","chnk/2015_Early Summer_Lower Kenai River_Chinook_Age_0/Indigestible_Prey.csv","chnk/2015_Early Summer_Lower Kenai River_Chinook_Age_0/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_2015_2016_models.csv"
2,"2015_Early Summer_Lower Beaver Creek_Coho_Age_1","22","Coho salmon (adult)",3.8584886,"Weight",4.241751,1,25,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","coho/2015_Early Summer_Lower Beaver Creek_Coho_Age_1/Temperature.csv","coho/2015_Early Summer_Lower Beaver Creek_Coho_Age_1/Diet_prop.csv","coho/2015_Early Summer_Lower Beaver Creek_Coho_Age_1/Prey_E.csv","coho/2015_Early Summer_Lower Beaver Creek_Coho_Age_1/Indigestible_Prey.csv","coho/2015_Early Summer_Lower Beaver Creek_Coho_Age_1/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_2015_2016_models.csv"
3,"2015_Early Summer_Middle Beaver Creek_Coho_Age_1","22","Coho salmon (adult)",5.2129817,"Weight",5.673064,1,36,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","coho/2015_Early Summer_Middle Beaver Creek_Coho_Age_1/Temperature.csv","coho/2015_Early Summer_Middle Beaver Creek_Coho_Age_1/Diet_prop.csv","coho/2015_Early Summer_Middle Beaver Creek_Coho_Age_1/Prey_E.csv","coho/2015_Early Summer_Middle Beaver Creek_Coho_Age_1/Indigestible_Prey.csv","coho/2015_Early Summer_Middle Beaver Creek_Coho_Age_1/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_2015_2016_models.csv"
4,"2015_Early Summer_Middle Russian River_Coho_Age_0","22","Coho salmon (adult)",1.1239285,"Weight",1.439018,1,26,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","coho/2015_Early Summer_Middle Russian River_Coho_Age_0/Temperature.csv","coho/2015_Early Summer_Middle Russian River_Coho_Age_0/Diet_prop.csv","coho/2015_Early Summer_Middle Russian River_Coho_Age_0/Prey_E.csv","coho/2015_Early Summer_Middle Russian River_Coho_Age_0/Indigestible_Prey.csv","coho/2015_Early Summer_Middle Russian River_Coho_Age_0/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_2015_2016_models.csv"
5,"2015_Early Summer_Middle Russian River_Coho_Age_1","22","Coho salmon (adult)",4.9591211,"Weight",8.455798,1,26,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","coho/2015_Early Summer_Middle Russian River_Coho_Age_1/Temperature.csv","coho/2015_Early Summer_Middle Russian River_Coho_Age_1/Diet_prop.csv","coho/2015_Early Summer_Middle Russian River_Coho_Age_1/Prey_E.csv","coho/2015_Early Summer_Middle Russian River_Coho_Age_1/Indigestible_Prey.csv","coho/2015_Early Summer_Middle Russian River_Coho_Age_1/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_2015_2016_models.csv"
6,"2015_Early Summer_Upper Russian River_Coho_Age_0","22","Coho salmon (adult)",0.9862471,"Weight",1.611731,1,35,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","coho/2015_Early Summer_Upper Russian River_Coho_Age_0/Temperature.csv","coho/2015_Early Summer_Upper Russian River_Coho_Age_0/Diet_prop.csv","coho/2015_Early Summer_Upper Russian River_Coho_Age_0/Prey_E.csv","coho/2015_Early Summer_Upper Russian River_Coho_Age_0/Indigestible_Prey.csv","coho/2015_Early Summer_Upper Russian River_Coho_Age_0/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_2015_2016_models.csv"
7,"2015_Early Summer_Upper Russian River_Coho_Age_1","22","Coho salmon (adult)",3.6828119,"Weight",7.428955,1,35,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","coho/2015_Early Summer_Upper Russian River_Coho_Age_1/Temperature.csv","coho/2015_Early Summer_Upper Russian River_Coho_Age_1/Diet_prop.csv","coho/2015_Early Summer_Upper Russian River_Coho_Age_1/Prey_E.csv","coho/2015_Early Summer_Upper Russian River_Coho_Age_1/Indigestible_Prey.csv","coho/2015_Early Summer_Upper Russian River_Coho_Age_1/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_2015_2016_models.csv"
8,"2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1","22","Coho salmon (adult)",4.2220785,"Weight",5.041997,1,37,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","coho/2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1/Temperature.csv","coho/2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1/Diet_prop.csv","coho/2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1/Prey_E.csv","coho/2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1/Indigestible_Prey.csv","coho/2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_2015_2016_models.csv"
9,"2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1","22","Coho salmon (adult)",7.6373639,"Weight",5.563584,1,37,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","coho/2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1/Temperature.csv","coho/2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1/Diet_prop.csv","coho/2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1/Prey_E.csv","coho/2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1/Indigestible_Prey.csv","coho/2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_2015_2016_models.csv"
10,"2016_Early Summer_Lower Russian River_Chinook_Age_0","21","Chinook salmon (adult)",1.3307592,"Weight",3.216875,1,48,1,13560,"FALSE","FALSE","FALSE","FALSE","NA","NA","chnk/2016_Early Summer_Lower Russian River_Chinook_Age_0/Temperature.csv","chnk/2016_Early Summer_Lower Russian River_Chinook_Age_0/Diet_prop.csv","chnk/2016_Early Summer_Lower Russian River_Chinook_Age_0/Prey_E.csv","chnk/2016_Early Summer_Lower Russian River_Chinook_Age_0/Indigestible_Prey.csv","chnk/2016_Early Summer_Lower Russian River_Chinook_Age_0/Pred_E.csv","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FB4_2015_2016_models.csv"
