,sim_name,SimDay,Date
1,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,1,6/5/15
2,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,2,6/6/15
3,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,3,6/7/15
4,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,4,6/8/15
5,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,5,6/9/15
6,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,6,6/10/15
7,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,7,6/11/15
8,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,8,6/12/15
9,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,9,6/13/15
10,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,10,6/14/15
11,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,11,6/15/15
12,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,12,6/16/15
13,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,13,6/17/15
14,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,14,6/18/15
15,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,15,6/19/15
16,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,16,6/20/15
17,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,17,6/21/15
18,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,18,6/22/15
19,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,19,6/23/15
20,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,20,6/24/15
21,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,21,6/25/15
22,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,22,6/26/15
23,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,23,6/27/15
24,2015_Early Summer_Lower Beaver Creek_Chinook_Age_1,24,6/28/15
25,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,1,6/5/15
26,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,2,6/6/15
27,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,3,6/7/15
28,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,4,6/8/15
29,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,5,6/9/15
30,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,6,6/10/15
31,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,7,6/11/15
32,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,8,6/12/15
33,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,9,6/13/15
34,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,10,6/14/15
35,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,11,6/15/15
36,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,12,6/16/15
37,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,13,6/17/15
38,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,14,6/18/15
39,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,15,6/19/15
40,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,16,6/20/15
41,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,17,6/21/15
42,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,18,6/22/15
43,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,19,6/23/15
44,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,20,6/24/15
45,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,21,6/25/15
46,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,22,6/26/15
47,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,23,6/27/15
48,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,24,6/28/15
49,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,1,6/5/15
50,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,2,6/6/15
51,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,3,6/7/15
52,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,4,6/8/15
53,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,5,6/9/15
54,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,6,6/10/15
55,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,7,6/11/15
56,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,8,6/12/15
57,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,9,6/13/15
58,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,10,6/14/15
59,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,11,6/15/15
60,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,12,6/16/15
61,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,13,6/17/15
62,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,14,6/18/15
63,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,15,6/19/15
64,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,16,6/20/15
65,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,17,6/21/15
66,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,18,6/22/15
67,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,19,6/23/15
68,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,20,6/24/15
69,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,21,6/25/15
70,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,22,6/26/15
71,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,23,6/27/15
72,2015_Early Summer_Lower Beaver Creek_Coho_Age_2,24,6/28/15
73,2015_Early Summer_Lower Kenai River_Chinook_Age_0,1,6/23/15
74,2015_Early Summer_Lower Kenai River_Chinook_Age_0,2,6/24/15
75,2015_Early Summer_Lower Kenai River_Chinook_Age_0,3,6/25/15
76,2015_Early Summer_Lower Kenai River_Chinook_Age_0,4,6/26/15
77,2015_Early Summer_Lower Kenai River_Chinook_Age_0,5,6/27/15
78,2015_Early Summer_Lower Kenai River_Chinook_Age_0,6,6/28/15
79,2015_Early Summer_Lower Kenai River_Chinook_Age_0,7,6/29/15
80,2015_Early Summer_Lower Kenai River_Chinook_Age_0,8,6/30/15
81,2015_Early Summer_Lower Kenai River_Chinook_Age_0,9,7/1/15
82,2015_Early Summer_Lower Kenai River_Chinook_Age_0,10,7/2/15
83,2015_Early Summer_Lower Kenai River_Chinook_Age_0,11,7/3/15
84,2015_Early Summer_Lower Kenai River_Chinook_Age_0,12,7/4/15
85,2015_Early Summer_Lower Kenai River_Chinook_Age_0,13,7/5/15
86,2015_Early Summer_Lower Kenai River_Chinook_Age_0,14,7/6/15
87,2015_Early Summer_Lower Kenai River_Chinook_Age_0,15,7/7/15
88,2015_Early Summer_Lower Kenai River_Chinook_Age_0,16,7/8/15
89,2015_Early Summer_Lower Kenai River_Chinook_Age_0,17,7/9/15
90,2015_Early Summer_Lower Kenai River_Chinook_Age_0,18,7/10/15
91,2015_Early Summer_Lower Kenai River_Chinook_Age_0,19,7/11/15
92,2015_Early Summer_Lower Kenai River_Chinook_Age_0,20,7/12/15
93,2015_Early Summer_Lower Kenai River_Chinook_Age_0,21,7/13/15
94,2015_Early Summer_Lower Kenai River_Chinook_Age_0,22,7/14/15
95,2015_Early Summer_Lower Kenai River_Chinook_Age_0,23,7/15/15
96,2015_Early Summer_Lower Kenai River_Chinook_Age_0,24,7/16/15
97,2015_Early Summer_Lower Kenai River_Chinook_Age_0,25,7/17/15
98,2015_Early Summer_Lower Kenai River_Chinook_Age_0,26,7/18/15
99,2015_Early Summer_Lower Kenai River_Chinook_Age_0,27,7/19/15
100,2015_Early Summer_Lower Kenai River_Chinook_Age_0,28,7/20/15
101,2015_Early Summer_Lower Kenai River_Chinook_Age_0,29,7/21/15
102,2015_Early Summer_Lower Kenai River_Chinook_Age_0,30,7/22/15
103,2015_Early Summer_Lower Kenai River_Chinook_Age_0,31,7/23/15
104,2015_Early Summer_Lower Kenai River_Coho_Age_1,1,6/23/15
105,2015_Early Summer_Lower Kenai River_Coho_Age_1,2,6/24/15
106,2015_Early Summer_Lower Kenai River_Coho_Age_1,3,6/25/15
107,2015_Early Summer_Lower Kenai River_Coho_Age_1,4,6/26/15
108,2015_Early Summer_Lower Kenai River_Coho_Age_1,5,6/27/15
109,2015_Early Summer_Lower Kenai River_Coho_Age_1,6,6/28/15
110,2015_Early Summer_Lower Kenai River_Coho_Age_1,7,6/29/15
111,2015_Early Summer_Lower Kenai River_Coho_Age_1,8,6/30/15
112,2015_Early Summer_Lower Kenai River_Coho_Age_1,9,7/1/15
113,2015_Early Summer_Lower Kenai River_Coho_Age_1,10,7/2/15
114,2015_Early Summer_Lower Kenai River_Coho_Age_1,11,7/3/15
115,2015_Early Summer_Lower Kenai River_Coho_Age_1,12,7/4/15
116,2015_Early Summer_Lower Kenai River_Coho_Age_1,13,7/5/15
117,2015_Early Summer_Lower Kenai River_Coho_Age_1,14,7/6/15
118,2015_Early Summer_Lower Kenai River_Coho_Age_1,15,7/7/15
119,2015_Early Summer_Lower Kenai River_Coho_Age_1,16,7/8/15
120,2015_Early Summer_Lower Kenai River_Coho_Age_1,17,7/9/15
121,2015_Early Summer_Lower Kenai River_Coho_Age_1,18,7/10/15
122,2015_Early Summer_Lower Kenai River_Coho_Age_1,19,7/11/15
123,2015_Early Summer_Lower Kenai River_Coho_Age_1,20,7/12/15
124,2015_Early Summer_Lower Kenai River_Coho_Age_1,21,7/13/15
125,2015_Early Summer_Lower Kenai River_Coho_Age_1,22,7/14/15
126,2015_Early Summer_Lower Kenai River_Coho_Age_1,23,7/15/15
127,2015_Early Summer_Lower Kenai River_Coho_Age_1,24,7/16/15
128,2015_Early Summer_Lower Kenai River_Coho_Age_1,25,7/17/15
129,2015_Early Summer_Lower Kenai River_Coho_Age_1,26,7/18/15
130,2015_Early Summer_Lower Kenai River_Coho_Age_1,27,7/19/15
131,2015_Early Summer_Lower Kenai River_Coho_Age_1,28,7/20/15
132,2015_Early Summer_Lower Kenai River_Coho_Age_1,29,7/21/15
133,2015_Early Summer_Lower Kenai River_Coho_Age_1,30,7/22/15
134,2015_Early Summer_Lower Kenai River_Coho_Age_1,31,7/23/15
135,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,1,6/24/15
136,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,2,6/25/15
137,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,3,6/26/15
138,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,4,6/27/15
139,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,5,6/28/15
140,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,6,6/29/15
141,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,7,6/30/15
142,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,8,7/1/15
143,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,9,7/2/15
144,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,10,7/3/15
145,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,11,7/4/15
146,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,12,7/5/15
147,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,13,7/6/15
148,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,14,7/7/15
149,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,15,7/8/15
150,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,16,7/9/15
151,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,17,7/10/15
152,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,18,7/11/15
153,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,19,7/12/15
154,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,20,7/13/15
