,scenario,month,decade,Site,Reach,proj_air_Temp_C,River,r_sq,sens_slope,sens_int,n_weeks,proj_h2o_Temp_C
1,rcp60,5,2010,Lower Beaver Creek,Lower,8,Beaver Creek,0.711428327,0.742543732,2.748754848,23,8.689104702
2,rcp60,5,2030,Lower Beaver Creek,Lower,8.5,Beaver Creek,0.711428327,0.742543732,2.748754848,23,9.060376568
3,rcp60,5,2060,Lower Beaver Creek,Lower,9.800000191,Beaver Creek,0.711428327,0.742543732,2.748754848,23,10.02568356
4,rcp60,5,2010,Lower Kenai River,Lower,8,Kenai River,0.376910884,0.724327052,2.24570342,24,8.040319835
5,rcp60,5,2030,Lower Kenai River,Lower,8.399999619,Kenai River,0.376910884,0.724327052,2.24570342,24,8.33005038
6,rcp60,5,2060,Lower Kenai River,Lower,9.800000191,Kenai River,0.376910884,0.724327052,2.24570342,24,9.344108667
7,rcp60,5,2010,Lower Ptarmigan Creek,Lower,7.699999809,Ptarmigan Creek,0.209413941,0.316678802,7.855463449,22,10.29389016
8,rcp60,5,2030,Lower Ptarmigan Creek,Lower,8.300000191,Ptarmigan Creek,0.209413941,0.316678802,7.855463449,22,10.48389756
9,rcp60,5,2060,Lower Ptarmigan Creek,Lower,9.5,Ptarmigan Creek,0.209413941,0.316678802,7.855463449,22,10.86391206
10,rcp60,5,2010,Lower Russian River,Lower,8.5,Russian River,0.234887161,0.454758559,4.812120396,20,8.677568149
11,rcp60,5,2030,Lower Russian River,Lower,9,Russian River,0.234887161,0.454758559,4.812120396,20,8.904947428
12,rcp60,5,2060,Lower Russian River,Lower,10.30000019,Russian River,0.234887161,0.454758559,4.812120396,20,9.496133642
13,rcp60,5,2010,Middle Beaver Creek,Middle,8,Beaver Creek,0.651567977,0.638623921,3.774106508,23,8.883097879
14,rcp60,5,2030,Middle Beaver Creek,Middle,8.5,Beaver Creek,0.651567977,0.638623921,3.774106508,23,9.20240984
15,rcp60,5,2060,Middle Beaver Creek,Middle,9.800000191,Beaver Creek,0.651567977,0.638623921,3.774106508,23,10.03262106
16,rcp60,5,2010,Middle Kenai River,Middle,8.5,Kenai River,0.225786873,0.679855343,0.620260616,32,6.399031035
17,rcp60,5,2030,Middle Kenai River,Middle,9,Kenai River,0.225786873,0.679855343,0.620260616,32,6.738958707
18,rcp60,5,2060,Middle Kenai River,Middle,10.30000019,Kenai River,0.225786873,0.679855343,0.620260616,32,7.622770783
19,rcp60,5,2010,Middle Ptarmigan Creek,Middle,7.599999905,Ptarmigan Creek,0.087102813,0.195001716,9.367903411,22,10.84991644
20,rcp60,5,2030,Middle Ptarmigan Creek,Middle,8.100000381,Ptarmigan Creek,0.087102813,0.195001716,9.367903411,22,10.94741739
21,rcp60,5,2060,Middle Ptarmigan Creek,Middle,9.300000191,Ptarmigan Creek,0.087102813,0.195001716,9.367903411,22,11.18141941
22,rcp60,5,2010,Middle Russian River,Middle,7.800000191,Russian River,0.506008585,0.678164465,5.544883549,23,10.8345665
23,rcp60,5,2030,Middle Russian River,Middle,8.300000191,Russian River,0.506008585,0.678164465,5.544883549,23,11.17364874
24,rcp60,5,2060,Middle Russian River,Middle,9.600000381,Russian River,0.506008585,0.678164465,5.544883549,23,12.05526267
25,rcp60,5,2010,Upper Beaver Creek,Upper,8.100000381,Beaver Creek,0.635163913,0.705447999,2.969947154,19,8.684076212
26,rcp60,5,2030,Upper Beaver Creek,Upper,8.5,Beaver Creek,0.635163913,0.705447999,2.969947154,19,8.966255142
27,rcp60,5,2060,Upper Beaver Creek,Upper,9.899999619,Beaver Creek,0.635163913,0.705447999,2.969947154,19,9.953882071
28,rcp60,5,2010,Upper Ptarmigan Creek,Upper,7.5,Ptarmigan Creek,0.070804943,0.191721109,9.143662943,23,10.58157126
29,rcp60,5,2030,Upper Ptarmigan Creek,Upper,8,Ptarmigan Creek,0.070804943,0.191721109,9.143662943,23,10.67743182
30,rcp60,5,2060,Upper Ptarmigan Creek,Upper,9.199999809,Ptarmigan Creek,0.070804943,0.191721109,9.143662943,23,10.90749711
31,rcp60,5,2010,Upper Russian River,Upper,7.400000095,Russian River,0.347784781,0.669553152,5.0500815,23,10.00477489
32,rcp60,5,2030,Upper Russian River,Upper,7.900000095,Russian River,0.347784781,0.669553152,5.0500815,23,10.33955146
33,rcp60,5,2060,Upper Russian River,Upper,9.100000381,Russian River,0.347784781,0.669553152,5.0500815,23,11.14301544
34,rcp60,6,2010,Lower Beaver Creek,Lower,11.80000019,Beaver Creek,0.711428327,0.742543732,2.748754848,23,11.51077102
35,rcp60,6,2030,Lower Beaver Creek,Lower,12.69999981,Beaver Creek,0.711428327,0.742543732,2.748754848,23,12.1790601
36,rcp60,6,2060,Lower Beaver Creek,Lower,13.60000038,Beaver Creek,0.711428327,0.742543732,2.748754848,23,12.84734988
37,rcp60,6,2010,Lower Kenai River,Lower,11.69999981,Kenai River,0.376910884,0.724327052,2.24570342,24,10.72032979
38,rcp60,6,2030,Lower Kenai River,Lower,12.60000038,Kenai River,0.376910884,0.724327052,2.24570342,24,11.37222455
39,rcp60,6,2060,Lower Kenai River,Lower,13.60000038,Kenai River,0.376910884,0.724327052,2.24570342,24,12.0965516
40,rcp60,6,2010,Lower Ptarmigan Creek,Lower,11.60000038,Ptarmigan Creek,0.209413941,0.316678802,7.855463449,22,11.52893767
41,rcp60,6,2030,Lower Ptarmigan Creek,Lower,12.60000038,Ptarmigan Creek,0.209413941,0.316678802,7.855463449,22,11.84561647
42,rcp60,6,2060,Lower Ptarmigan Creek,Lower,13.39999962,Ptarmigan Creek,0.209413941,0.316678802,7.855463449,22,12.09895927
43,rcp60,6,2010,Lower Russian River,Lower,12.39999962,Russian River,0.234887161,0.454758559,4.812120396,20,10.45112636
44,rcp60,6,2030,Lower Russian River,Lower,13.5,Russian River,0.234887161,0.454758559,4.812120396,20,10.95136094
45,rcp60,6,2060,Lower Russian River,Lower,14.19999981,Russian River,0.234887161,0.454758559,4.812120396,20,11.26969185
46,rcp60,6,2010,Middle Beaver Creek,Middle,11.80000019,Beaver Creek,0.651567977,0.638623921,3.774106508,23,11.3098689
47,rcp60,6,2030,Middle Beaver Creek,Middle,12.69999981,Beaver Creek,0.651567977,0.638623921,3.774106508,23,11.88463019
48,rcp60,6,2060,Middle Beaver Creek,Middle,13.69999981,Beaver Creek,0.651567977,0.638623921,3.774106508,23,12.52325411
49,rcp60,6,2010,Middle Kenai River,Middle,12.39999962,Kenai River,0.225786873,0.679855343,0.620260616,32,9.050466616
50,rcp60,6,2030,Middle Kenai River,Middle,13.5,Kenai River,0.225786873,0.679855343,0.620260616,32,9.798307753
51,rcp60,6,2060,Middle Kenai River,Middle,14.19999981,Kenai River,0.225786873,0.679855343,0.620260616,32,10.27420636
52,rcp60,6,2010,Middle Ptarmigan Creek,Middle,11.60000038,Ptarmigan Creek,0.087102813,0.195001716,9.367903411,22,11.6299234
53,rcp60,6,2030,Middle Ptarmigan Creek,Middle,12.60000038,Ptarmigan Creek,0.087102813,0.195001716,9.367903411,22,11.82492511
54,rcp60,6,2060,Middle Ptarmigan Creek,Middle,13.30000019,Ptarmigan Creek,0.087102813,0.195001716,9.367903411,22,11.96142628
55,rcp60,6,2010,Middle Russian River,Middle,12,Russian River,0.506008585,0.678164465,5.544883549,23,13.68285713
56,rcp60,6,2030,Middle Russian River,Middle,13,Russian River,0.506008585,0.678164465,5.544883549,23,14.36102159
57,rcp60,6,2060,Middle Russian River,Middle,13.80000019,Russian River,0.506008585,0.678164465,5.544883549,23,14.90355329
58,rcp60,6,2010,Upper Beaver Creek,Upper,11.80000019,Beaver Creek,0.635163913,0.705447999,2.969947154,19,11.29423367
59,rcp60,6,2030,Upper Beaver Creek,Upper,12.69999981,Beaver Creek,0.635163913,0.705447999,2.969947154,19,11.9291366
60,rcp60,6,2060,Upper Beaver Creek,Upper,13.69999981,Beaver Creek,0.635163913,0.705447999,2.969947154,19,12.6345846
61,rcp60,6,2010,Upper Ptarmigan Creek,Upper,11.19999981,Ptarmigan Creek,0.070804943,0.191721109,9.143662943,23,11.29093933
62,rcp60,6,2030,Upper Ptarmigan Creek,Upper,12.19999981,Ptarmigan Creek,0.070804943,0.191721109,9.143662943,23,11.48266044
63,rcp60,6,2060,Upper Ptarmigan Creek,Upper,12.89999962,Ptarmigan Creek,0.070804943,0.191721109,9.143662943,23,11.61686518
64,rcp60,6,2010,Upper Russian River,Upper,11.60000038,Russian River,0.347784781,0.669553152,5.0500815,23,12.81689832
65,rcp60,6,2030,Upper Russian River,Upper,12.60000038,Russian River,0.347784781,0.669553152,5.0500815,23,13.48645147
66,rcp60,6,2060,Upper Russian River,Upper,13.39999962,Russian River,0.347784781,0.669553152,5.0500815,23,14.02209348
67,rcp60,7,2010,Lower Beaver Creek,Lower,14.19999981,Beaver Creek,0.711428327,0.742543732,2.748754848,23,13.2928757
68,rcp60,7,2030,Lower Beaver Creek,Lower,14.89999962,Beaver Creek,0.711428327,0.742543732,2.748754848,23,13.81265617
69,rcp60,7,2060,Lower Beaver Creek,Lower,15.60000038,Beaver Creek,0.711428327,0.742543732,2.748754848,23,14.33243735
70,rcp60,7,2010,Lower Kenai River,Lower,14.19999981,Kenai River,0.376910884,0.724327052,2.24570342,24,12.53114742
71,rcp60,7,2030,Lower Kenai River,Lower,14.89999962,Kenai River,0.376910884,0.724327052,2.24570342,24,13.03817622
72,rcp60,7,2060,Lower Kenai River,Lower,15.5,Kenai River,0.376910884,0.724327052,2.24570342,24,13.47277272
73,rcp60,7,2010,Lower Ptarmigan Creek,Lower,14.19999981,Ptarmigan Creek,0.209413941,0.316678802,7.855463449,22,12.35230237
74,rcp60,7,2030,Lower Ptarmigan Creek,Lower,14.80000019,Ptarmigan Creek,0.209413941,0.316678802,7.855463449,22,12.54230977
75,rcp60,7,2060,Lower Ptarmigan Creek,Lower,15.30000019,Ptarmigan Creek,0.209413941,0.316678802,7.855463449,22,12.70064917
76,rcp60,7,2010,Lower Russian River,Lower,15,Russian River,0.234887161,0.454758559,4.812120396,20,11.63349878
77,rcp60,7,2030,Lower Russian River,Lower,15.60000038,Russian River,0.234887161,0.454758559,4.812120396,20,11.90635409
78,rcp60,7,2060,Lower Russian River,Lower,16.10000038,Russian River,0.234887161,0.454758559,4.812120396,20,12.13373337
79,rcp60,7,2010,Middle Beaver Creek,Middle,14.19999981,Beaver Creek,0.651567977,0.638623921,3.774106508,23,12.84256607
80,rcp60,7,2030,Middle Beaver Creek,Middle,14.89999962,Beaver Creek,0.651567977,0.638623921,3.774106508,23,13.28960269
81,rcp60,7,2060,Middle Beaver Creek,Middle,15.60000038,Beaver Creek,0.651567977,0.638623921,3.774106508,23,13.73663993
82,rcp60,7,2010,Middle Kenai River,Middle,15,Kenai River,0.225786873,0.679855343,0.620260616,32,10.81809077
83,rcp60,7,2030,Middle Kenai River,Middle,15.60000038,Kenai River,0.225786873,0.679855343,0.620260616,32,11.22600423
84,rcp60,7,2060,Middle Kenai River,Middle,16.10000038,Kenai River,0.225786873,0.679855343,0.620260616,32,11.5659319
85,rcp60,7,2010,Middle Ptarmigan Creek,Middle,14,Ptarmigan Creek,0.087102813,0.195001716,9.367903411,22,12.09792744
86,rcp60,7,2030,Middle Ptarmigan Creek,Middle,14.60000038,Ptarmigan Creek,0.087102813,0.195001716,9.367903411,22,12.21492855
87,rcp60,7,2060,Middle Ptarmigan Creek,Middle,15.19999981,Ptarmigan Creek,0.087102813,0.195001716,9.367903411,22,12.33192946
88,rcp60,7,2010,Middle Russian River,Middle,14.39999962,Russian River,0.506008585,0.678164465,5.544883549,23,15.31045158
89,rcp60,7,2030,Middle Russian River,Middle,15.10000038,Russian River,0.506008585,0.678164465,5.544883549,23,15.78516723
90,rcp60,7,2060,Middle Russian River,Middle,15.60000038,Russian River,0.506008585,0.678164465,5.544883549,23,16.12424946
91,rcp60,7,2010,Upper Beaver Creek,Upper,14.19999981,Beaver Creek,0.635163913,0.705447999,2.969947154,19,12.9873086
92,rcp60,7,2030,Upper Beaver Creek,Upper,14.89999962,Beaver Creek,0.635163913,0.705447999,2.969947154,19,13.48112206
93,rcp60,7,2060,Upper Beaver Creek,Upper,15.60000038,Beaver Creek,0.635163913,0.705447999,2.969947154,19,13.9749362
94,rcp60,7,2010,Upper Ptarmigan Creek,Upper,13.5,Ptarmigan Creek,0.070804943,0.191721109,9.143662943,23,11.73189792
95,rcp60,7,2030,Upper Ptarmigan Creek,Upper,14.10000038,Ptarmigan Creek,0.070804943,0.191721109,9.143662943,23,11.84693065
96,rcp60,7,2060,Upper Ptarmigan Creek,Upper,14.60000038,Ptarmigan Creek,0.070804943,0.191721109,9.143662943,23,11.94279121
97,rcp60,7,2010,Upper Russian River,Upper,14.10000038,Russian River,0.347784781,0.669553152,5.0500815,23,14.4907812
98,rcp60,7,2030,Upper Russian River,Upper,14.69999981,Russian River,0.347784781,0.669553152,5.0500815,23,14.8925127
99,rcp60,7,2060,Upper Russian River,Upper,15.19999981,Russian River,0.347784781,0.669553152,5.0500815,23,15.22728928
100,rcp60,8,2010,Lower Beaver Creek,Lower,13.5,Beaver Creek,0.711428327,0.742543732,2.748754848,23,12.77309523
101,rcp60,8,2030,Lower Beaver Creek,Lower,14.10000038,Beaver Creek,0.711428327,0.742543732,2.748754848,23,13.21862175
102,rcp60,8,2060,Lower Beaver Creek,Lower,14.89999962,Beaver Creek,0.711428327,0.742543732,2.748754848,23,13.81265617
103,rcp60,8,2010,Lower Kenai River,Lower,13.5,Kenai River,0.376910884,0.724327052,2.24570342,24,12.02411862
104,rcp60,8,2030,Lower Kenai River,Lower,14.10000038,Kenai River,0.376910884,0.724327052,2.24570342,24,12.45871513
105,rcp60,8,2060,Lower Kenai River,Lower,14.80000019,Kenai River,0.376910884,0.724327052,2.24570342,24,12.96574393
106,rcp60,8,2010,Lower Ptarmigan Creek,Lower,13.39999962,Ptarmigan Creek,0.209413941,0.316678802,7.855463449,22,12.09895927
107,rcp60,8,2030,Lower Ptarmigan Creek,Lower,13.89999962,Ptarmigan Creek,0.209413941,0.316678802,7.855463449,22,12.25729867
108,rcp60,8,2060,Lower Ptarmigan Creek,Lower,14.69999981,Ptarmigan Creek,0.209413941,0.316678802,7.855463449,22,12.51064177
109,rcp60,8,2010,Lower Russian River,Lower,14,Russian River,0.234887161,0.454758559,4.812120396,20,11.17874022
110,rcp60,8,2030,Lower Russian River,Lower,14.5,Russian River,0.234887161,0.454758559,4.812120396,20,11.4061195
111,rcp60,8,2060,Lower Russian River,Lower,15.30000019,Russian River,0.234887161,0.454758559,4.812120396,20,11.76992644
