"river_spp","river","sample.id","sample.event","reach","year","sample.event.num","spp","wt_g","len_mm","age","Date","Site.ID","Hydrologic.Segment","season","doy"
"Russian River 
 Coho","Russian River","NA","URR-2015-1","URR","2015","1","Coho",0.2,30,0,2015-06-16,"URR-F1-2015","Upper","Early Summer",167
"Russian River 
 Coho","Russian River","NA","MRR-2015-1","MRR","2015","1","Coho",0.5,32,0,2015-06-19,"MRR-F1-2015","Middle","Early Summer",170
"Beaver Creek 
 Coho","Beaver Creek","NA","LBC-2015-2","LBC","2015","2","Coho",0.4,33,0,2015-06-29,"LBC-F1-2015","Lower","Mid-Summer",180
"Russian River 
 Coho","Russian River","NA","URR-2015-1","URR","2015","1","Coho",0.8,34,0,2015-06-16,"URR-F1-2015","Upper","Early Summer",167
"Russian River 
 Coho","Russian River","NA","URR-2015-1","URR","2015","1","Coho",0.3,34,0,2015-06-16,"URR-F1-2015","Upper","Early Summer",167
"Beaver Creek 
 Coho","Beaver Creek","NA","LBC-2015-2","LBC","2015","2","Coho",0.5,34,0,2015-06-29,"LBC-F1-2015","Lower","Mid-Summer",180
"Beaver Creek 
 Coho","Beaver Creek","NA","LBC-2015-2","LBC","2015","2","Coho",0.4,34,0,2015-06-29,"LBC-F1-2015","Lower","Mid-Summer",180
"Russian River 
 Coho","Russian River","NA","URR-2015-1","URR","2015","1","Coho",0.3,35,0,2015-06-16,"URR-F1-2015","Upper","Early Summer",167
"Russian River 
 Coho","Russian River","NA","URR-2015-1","URR","2015","1","Coho",0.3,35,0,2015-06-16,"URR-F1-2015","Upper","Early Summer",167
"Russian River 
 Coho","Russian River","NA","URR-2015-1","URR","2015","1","Coho",0.4,35,0,2015-06-16,"URR-F1-2015","Upper","Early Summer",167
"Russian River 
 Coho","Russian River","NA","MRR-2015-1","MRR","2015","1","Coho",0.6,35,0,2015-06-19,"MRR-F1-2015","Middle","Early Summer",170
"Russian River 
 Coho","Russian River","NA","MRR-2015-1","MRR","2015","1","Coho",0.5,35,0,2015-06-19,"MRR-F1-2015","Middle","Early Summer",170
"Russian River 
 Coho","Russian River","NA","MRR-2015-1","MRR","2015","1","Coho",0.8,35,0,2015-06-19,"MRR-F1-2015","Middle","Early Summer",170
"Russian River 
 Coho","Russian River","NA","URR-2015-1","URR","2015","1","Coho",1,36,0,2015-06-16,"URR-F1-2015","Upper","Early Summer",167
"Russian River 
 Coho","Russian River","NA","URR-2015-1","URR","2015","1","Coho",0.4,36,0,2015-06-16,"URR-F1-2015","Upper","Early Summer",167
"Russian River 
 Coho","Russian River","NA","MRR-2015-1","MRR","2015","1","Coho",0.7,36,0,2015-06-19,"MRR-F1-2015","Middle","Early Summer",170
"Russian River 
 Coho","Russian River","NA","MRR-2015-1","MRR","2015","1","Coho",0.9,36,0,2015-06-19,"MRR-F1-2015","Middle","Early Summer",170
"Russian River 
 Coho","Russian River","NA","MRR-2015-1","MRR","2015","1","Coho",1,36,0,2015-06-19,"MRR-F1-2015","Middle","Early Summer",170
"Russian River 
 Coho","Russian River","NA","MRR-2015-1","MRR","2015","1","Coho",0.6,36,0,2015-06-19,"MRR-F1-2015","Middle","Early Summer",170
"Beaver Creek 
 Coho","Beaver Creek","NA","LBC-2015-2","LBC","2015","2","Coho",0.7,36,0,2015-06-29,"LBC-F1-2015","Lower","Mid-Summer",180
"Russian River 
 Coho","Russian River","NA","URR-2015-1","URR","2015","1","Coho",0.8,37,0,2015-06-16,"URR-F1-2015","Upper","Early Summer",167
