"sample.id","spp","sample.event","event.num","river","reach","site","year","prey","preycat","quantity","dm_mg","season","prey_type","PreyCategory_ED","diet","wet_dry_ratio","energy_density_jg","source","wm_mg","Date","age","wt_g","len_mm"
"LBC-F1-20150604-D2","Coho","LBC-2015-1","1","Beaver Creek","Lower Beaver Creek","F1","2015","Coleoptera ADULT","InvertTerrestrial_TerOrigin",1,1.55416945202566,"Early Summer","Coleoptera adults","InvertTerrestrial","Diet3",0.29,5250,"McCarthy et al. 2009",5.35920500698503,2015-06-04,1,4.7,75
"LBC-F1-20150604-D3","Coho","LBC-2015-1","1","Beaver Creek","Lower Beaver Creek","F1","2015","Diptera PUPAE","InvertAquatic",1,0.0481227487825175,"Early Summer","Aquatic larvae, soft-bodied","InvertAquatic_AqOrigin","Diet2",0.17,3221,"McCarthy et al. 2009",0.283074992838338,2015-06-04,1,4.9,75
"LBC-F1-20150604-D4","Chinook","LBC-2015-1","1","Beaver Creek","Lower Beaver Creek","F1","2015","Chironomidae LARVAE","InvertAquatic",2,0.242944461155463,"Early Summer","Aquatic larvae, soft-bodied","InvertAquatic_AqOrigin","Diet2",0.17,3221,"McCarthy et al. 2009",1.42908506562037,2015-06-04,1,5.3,79
"LBC-F1-20150604-D4","Chinook","LBC-2015-1","1","Beaver Creek","Lower Beaver Creek","F1","2015","Chironomidae LARVAE","InvertAquatic",2,0.135485712033519,"Early Summer","Aquatic larvae, soft-bodied","InvertAquatic_AqOrigin","Diet2",0.17,3221,"McCarthy et al. 2009",0.79697477666776,2015-06-04,1,5.3,79
"LBC-F1-20150604-D4","Chinook","LBC-2015-1","1","Beaver Creek","Lower Beaver Creek","F1","2015","Chironomidae LARVAE","InvertAquatic",2,0.063815889106885,"Early Summer","Aquatic larvae, soft-bodied","InvertAquatic_AqOrigin","Diet2",0.17,3221,"McCarthy et al. 2009",0.375387582981677,2015-06-04,1,5.3,79
"LBC-F1-20150604-D4","Chinook","LBC-2015-1","1","Beaver Creek","Lower Beaver Creek","F1","2015","Insect UNK","InvertUnknown",2,0,"Early Summer","Aquatic other","InvertAquatic_AqOrigin","Diet2",0.17,3221,"McCarthy et al. 2009",0,2015-06-04,1,5.3,79
"LBC-F1-20150604-D4","Chinook","LBC-2015-1","1","Beaver Creek","Lower Beaver Creek","F1","2015","Insect UNK","InvertUnknown",1,0,"Early Summer","Aquatic other","InvertAquatic_AqOrigin","Diet2",0.17,3221,"McCarthy et al. 2009",0,2015-06-04,1,5.3,79
"LBC-F1-20150604-D4","Chinook","LBC-2015-1","1","Beaver Creek","Lower Beaver Creek","F1","2015","Ephemeroptera LARVAE","InvertAquatic",1,1.13496557709069,"Early Summer","Aquatic nymphs","InvertAquatic_AqOrigin","Diet2",0.13,3221,"McCarthy et al. 2009",8.73050443915912,2015-06-04,1,5.3,79
"LBC-F1-20150604-D4","Chinook","LBC-2015-1","1","Beaver Creek","Lower Beaver Creek","F1","2015","Diptera PUPAE","InvertAquatic",1,0.143346830805427,"Early Summer","Aquatic larvae, soft-bodied","InvertAquatic_AqOrigin","Diet2",0.17,3221,"McCarthy et al. 2009",0.843216651796628,2015-06-04,1,5.3,79
"LBC-F1-20150604-D5","Coho","LBC-2015-1","1","Beaver Creek","Lower Beaver Creek","F1","2015","Insect ADULT","InvertUnknown",1,0,"Early Summer","Aquatic other","InvertAquatic_AqOrigin","Diet2",0.17,3221,"McCarthy et al. 2009",0,2015-06-04,1,4.4,75
"LBC-F1-20150604-D6","Coho","LBC-2015-1","1","Beaver Creek","Lower Beaver Creek","F1","2015","OLIGOCHAETA ADULT","InvertAquatic",1,0.99676130404131,"Early Summer","Aquatic other","InvertAquatic_AqOrigin","Diet2",0.17,3221,"McCarthy et al. 2009",5.86330178847829,2015-06-04,1,6.5,88
"LBC-F1-20150604-D6","Coho","LBC-2015-1","1","Beaver Creek","Lower Beaver Creek","F1","2015","Plecoptera ADULT","InvertTerrestrial_AqOrigin",1,10.6572017867999,"Early Summer","Aquatic nymphs","InvertAquatic_AqOrigin","Diet2",0.13,3221,"McCarthy et al. 2009",81.9784752830765,2015-06-04,1,6.5,88
"LBC-F1-20150605-D1","Coho","LBC-2015-1","1","Beaver Creek","Lower Beaver Creek","F1","2015","Diptera PUPAE","InvertAquatic",1,0.0481227487825175,"Early Summer","Aquatic larvae, soft-bodied","InvertAquatic_AqOrigin","Diet2",0.17,3221,"McCarthy et al. 2009",0.283074992838338,2015-06-05,1,8.4,88
"LBC-F1-20150605-D10","Coho","LBC-2015-1","1","Beaver Creek","Lower Beaver Creek","F1","2015","Cicadellidae ADULT","InvertTerrestrial_TerOrigin",1,0.0414413759633416,"Early Summer","Winged insects","InvertTerrestrial_AqOrigin","Diet4",0.18,4225,"McCarthy et al. 2009",0.230229866463009,2015-06-05,1,3.6,67
"LBC-F1-20150605-D10","Coho","LBC-2015-1","1","Beaver Creek","Lower Beaver Creek","F1","2015","Diptera PUPAE","InvertAquatic",1,0.0481227487825175,"Early Summer","Aquatic larvae, soft-bodied","InvertAquatic_AqOrigin","Diet2",0.17,3221,"McCarthy et al. 2009",0.283074992838338,2015-06-05,1,3.6,67
"LBC-F1-20150605-D11","Coho","LBC-2015-1","1","Beaver Creek","Lower Beaver Creek","F1","2015","Salmonid","Fish",1,54.820618808256,"Early Summer","Salmonid","FishEggs","Diet1",0.249,5235,"Brey et al. 2010 (DM); Beauchamp 1989 (Energy Density)",220.163127744,2015-06-05,1,5.4,88
"LBC-F1-20150605-D11","Coho","LBC-2015-1","1","Beaver Creek","Lower Beaver Creek","F1","2015","Salmonid","Fish",1,26.591196659544,"Early Summer","Salmonid","FishEggs","Diet1",0.249,5235,"Brey et al. 2010 (DM); Beauchamp 1989 (Energy Density)",106.791954456,2015-06-05,1,5.4,88
"LBC-F1-20150605-D11","Coho","LBC-2015-1","1","Beaver Creek","Lower Beaver Creek","F1","2015","Collembola ADULT","InvertTerrestrial_TerOrigin",3,0.0524746594057343,"Early Summer","Aquatic other","InvertAquatic_AqOrigin","Diet2",0.17,3221,"McCarthy et al. 2009",0.308674467092555,2015-06-05,1,5.4,88
"LBC-F1-20150605-D12","Chinook","LBC-2015-1","1","Beaver Creek","Lower Beaver Creek","F1","2015","Simuliidae LARVAE","InvertAquatic",1,0.0546565347336101,"Early Summer","Aquatic larvae, soft-bodied","InvertAquatic_AqOrigin","Diet2",0.17,3221,"McCarthy et al. 2009",0.321509027844765,2015-06-05,1,3.7,60
"LBC-F1-20150605-D12","Chinook","LBC-2015-1","1","Beaver Creek","Lower Beaver Creek","F1","2015","Diptera ADULT","InvertTerrestrial_UnkOrigin",1,0.191596592739029,"Early Summer","Winged insects","InvertTerrestrial_AqOrigin","Diet4",0.18,4225,"McCarthy et al. 2009",1.06442551521683,2015-06-05,1,3.7,60
"LBC-F1-20150605-D13","Coho","LBC-2015-1","1","Beaver Creek","Lower Beaver Creek","F1","2015","Diptera PUPAE","InvertAquatic",1,0.104396395815117,"Early Summer","Aquatic larvae, soft-bodied","InvertAquatic_AqOrigin","Diet2",0.17,3221,"McCarthy et al. 2009",0.614096445971274,2015-06-05,2,15,112
"LBC-F1-20150605-D14","Chinook","LBC-2015-1","1","Beaver Creek","Lower Beaver Creek","F1","2015","Carabidae ADULT","InvertTerrestrial_TerOrigin",2,1.11449546880607,"Early Summer","Coleoptera adults","InvertTerrestrial","Diet3",0.29,5250,"McCarthy et al. 2009",3.84308782346922,2015-06-05,1,5.8,80
"LBC-F1-20150605-D14","Chinook","LBC-2015-1","1","Beaver Creek","Lower Beaver Creek","F1","2015","Staphylinidae ADULT","InvertTerrestrial_TerOrigin",2,0.530790963722097,"Early Summer","Coleoptera adults","InvertTerrestrial","Diet3",0.29,5250,"McCarthy et al. 2009",1.83031366800723,2015-06-05,1,5.8,80
"LBC-F1-20150605-D14","Chinook","LBC-2015-1","1","Beaver Creek","Lower Beaver Creek","F1","2015","Ichneumonidae ADULT","InvertTerrestrial_TerOrigin",2,18.3287975080646,"Early Summer","Hymenoptera adults","InvertTerrestrial","Diet3",0.24,5250,"McCarthy et al. 2009",76.3699896169357,2015-06-05,1,5.8,80
"LBC-F1-20150605-D14","Chinook","LBC-2015-1","1","Beaver Creek","Lower Beaver Creek","F1","2015","Simuliidae LARVAE","InvertAquatic",1,0.254465364629208,"Early Summer","Aquatic larvae, soft-bodied","InvertAquatic_AqOrigin","Diet2",0.17,3221,"McCarthy et al. 2009",1.49685508605417,2015-06-05,1,5.8,80
"LBC-F1-20150605-D14","Chinook","LBC-2015-1","1","Beaver Creek","Lower Beaver Creek","F1","2015","Insect UNK","InvertUnknown",2,0,"Early Summer","Aquatic other","InvertAquatic_AqOrigin","Diet2",0.17,3221,"McCarthy et al. 2009",0,2015-06-05,1,5.8,80
"LBC-F1-20150605-D14","Chinook","LBC-2015-1","1","Beaver Creek","Lower Beaver Creek","F1","2015","Chironomidae LARVAE","InvertAquatic",1,0.121472230577732,"Early Summer","Aquatic larvae, soft-bodied","InvertAquatic_AqOrigin","Diet2",0.17,3221,"McCarthy et al. 2009",0.714542532810186,2015-06-05,1,5.8,80
"LBC-F1-20150605-D15","Chinook","LBC-2015-1","1","Beaver Creek","Lower Beaver Creek","F1","2015","Culicidae ADULT","InvertTerrestrial_AqOrigin",1,0.881524092701289,"Early Summer","Winged insects","InvertTerrestrial_AqOrigin","Diet4",0.18,4225,"McCarthy et al. 2009",4.89735607056272,2015-06-05,1,6.9,85
"LBC-F1-20150605-D15","Chinook","LBC-2015-1","1","Beaver Creek","Lower Beaver Creek","F1","2015","Insect ADULT","InvertUnknown",1,0,"Early Summer","Aquatic other","InvertAquatic_AqOrigin","Diet2",0.17,3221,"McCarthy et al. 2009",0,2015-06-05,1,6.9,85
"LBC-F1-20150605-D15","Chinook","LBC-2015-1","1","Beaver Creek","Lower Beaver Creek","F1","2015","Insect UNK","InvertUnknown",1,0,"Early Summer","Aquatic other","InvertAquatic_AqOrigin","Diet2",0.17,3221,"McCarthy et al. 2009",0,2015-06-05,1,6.9,85
"LBC-F1-20150605-D15","Chinook","LBC-2015-1","1","Beaver Creek","Lower Beaver Creek","F1","2015","Diptera ADULT","InvertTerrestrial_UnkOrigin",1,1.51961020399863,"Early Summer","Winged insects","InvertTerrestrial_AqOrigin","Diet4",0.18,4225,"McCarthy et al. 2009",8.44227891110348,2015-06-05,1,6.9,85
"LBC-F1-20150605-D2","Coho","LBC-2015-1","1","Beaver Creek","Lower Beaver Creek","F1","2015","Diptera ADULT","InvertTerrestrial_UnkOrigin",1,0.479020419770758,"Early Summer","Winged insects","InvertTerrestrial_AqOrigin","Diet4",0.18,4225,"McCarthy et al. 2009",2.66122455428199,2015-06-05,1,3.1,64
"LBC-F1-20150605-D2","Coho","LBC-2015-1","1","Beaver Creek","Lower Beaver Creek","F1","2015","Diptera ADULT","InvertTerrestrial_UnkOrigin",3,0.12,"Early Summer","Winged insects","InvertTerrestrial_AqOrigin","Diet4",0.18,4225,"McCarthy et al. 2009",0.666666666666667,2015-06-05,1,3.1,64
