"Reach","Watershed","Species","Age","Mean Weight (g)","Mean Fork Length (mm)","N"
"Lower","Beaver Creek","Chinook",0,"1.7±0.7","52.5±5.9",149
"Lower","Beaver Creek","Coho",0,"1.8±0.9","53.2±8.7",188
"Lower","Beaver Creek","Coho",1,"5.2±2.7","75.7±11.9",329
"Middle","Beaver Creek","Chinook",0,"2.3±0.8","58.2±6.3",45
"Middle","Beaver Creek","Coho",0,"2.9±1.2","62.7±9",51
"Middle","Beaver Creek","Coho",1,"6.4±2.6","81.2±10.7",392
"Upper","Beaver Creek","Chinook",0,"3.2±0.7","65.8±5.2",9
"Upper","Beaver Creek","Coho",0,"4.2±1.4","71.1±9.1",27
"Upper","Beaver Creek","Coho",1,"8.2±2.7","88.3±9.3",412
"Lower","Russian River","Chinook",0,"2.1±1.2","55.5±9.6",84
"Lower","Russian River","Coho",0,"1.8±0.7","53.8±6.4",321
"Lower","Russian River","Coho",1,"4±1.2","69.5±7.3",50
"Middle","Russian River","Chinook",0,"2.8±1.1","60.9±9.8",8
"Middle","Russian River","Coho",0,"1.9±1","53.6±9.5",282
"Middle","Russian River","Coho",1,"6.2±2.8","79.8±12.4",93
"Upper","Russian River","Chinook",0,"2.4±0.7","58.7±5.8",10
"Upper","Russian River","Coho",0,"1.8±0.9","52.7±8.9",244
"Upper","Russian River","Coho",1,"6.1±2.8","79.6±13.1",76
"Lower","Ptarmigan Creek","Chinook",0,"4.1±1.3","70.9±7.7",30
"Lower","Ptarmigan Creek","Coho",0,"2.6±1.1","61±8.6",81
"Lower","Ptarmigan Creek","Coho",1,"5.9±2.6","79.6±11",167
"Middle","Ptarmigan Creek","Coho",0,"2.8±0.8","61.5±7.3",11
"Middle","Ptarmigan Creek","Coho",1,"7.4±2.7","86.3±10.7",124
"Upper","Ptarmigan Creek","Coho",1,"11.4±NA","109±NA",1
"Lower","Kenai River","Chinook",0,"2.3±1.2","57.6±8.7",428
"Lower","Kenai River","Coho",0,"1.4±0.5","48.6±5.4",136
"Lower","Kenai River","Coho",1,"6.3±2.6","79.8±14.4",6
"Middle","Kenai River","Chinook",0,"1.8±0.9","54±7.5",412
"Middle","Kenai River","Coho",0,"1.3±0.4","48±4.4",140
"Middle","Kenai River","Coho",1,"5.9±3.3","79.4±15.8",5
