"Watershed","Reach","Population","Simulation Period","Climate Scenario","Food Consumption Scenario","Percent Change in Mass"
"Beaver Creek","Lower","Age 0 Chinook","2030-2039","RCP 6.0","-20%","-5.15%"
"Beaver Creek","Lower","Age 0 Chinook","2030-2039","RCP 6.0","+20%","-3.56%"
"Beaver Creek","Lower","Age 0 Chinook","2030-2039","RCP 6.0","Mean","-4.27%"
"Beaver Creek","Lower","Age 0 Chinook","2030-2039","RCP 8.5","-20%","-6.00%"
"Beaver Creek","Lower","Age 0 Chinook","2030-2039","RCP 8.5","+20%","-3.80%"
"Beaver Creek","Lower","Age 0 Chinook","2030-2039","RCP 8.5","Mean","-4.79%"
"Beaver Creek","Lower","Age 0 Chinook","2060-2069","RCP 6.0","-20%","-11.49%"
"Beaver Creek","Lower","Age 0 Chinook","2060-2069","RCP 6.0","+20%","-8.25%"
"Beaver Creek","Lower","Age 0 Chinook","2060-2069","RCP 6.0","Mean","-9.70%"
"Beaver Creek","Lower","Age 0 Chinook","2060-2069","RCP 8.5","-20%","-19.50%"
"Beaver Creek","Lower","Age 0 Chinook","2060-2069","RCP 8.5","+20%","-14.65%"
"Beaver Creek","Lower","Age 0 Chinook","2060-2069","RCP 8.5","Mean","-16.85%"
"Beaver Creek","Lower","Age 0 Coho","2030-2039","RCP 6.0","-20%","-5.58%"
"Beaver Creek","Lower","Age 0 Coho","2030-2039","RCP 6.0","+20%","-3.96%"
"Beaver Creek","Lower","Age 0 Coho","2030-2039","RCP 6.0","Mean","-4.65%"
"Beaver Creek","Lower","Age 0 Coho","2030-2039","RCP 8.5","-20%","-6.64%"
"Beaver Creek","Lower","Age 0 Coho","2030-2039","RCP 8.5","+20%","-4.34%"
"Beaver Creek","Lower","Age 0 Coho","2030-2039","RCP 8.5","Mean","-5.34%"
"Beaver Creek","Lower","Age 0 Coho","2060-2069","RCP 6.0","-20%","-12.39%"
"Beaver Creek","Lower","Age 0 Coho","2060-2069","RCP 6.0","+20%","-9.08%"
"Beaver Creek","Lower","Age 0 Coho","2060-2069","RCP 6.0","Mean","-10.54%"
"Beaver Creek","Lower","Age 0 Coho","2060-2069","RCP 8.5","-20%","-20.87%"
"Beaver Creek","Lower","Age 0 Coho","2060-2069","RCP 8.5","+20%","-15.93%"
"Beaver Creek","Lower","Age 0 Coho","2060-2069","RCP 8.5","Mean","-18.14%"
"Beaver Creek","Lower","Age 1 Coho","2030-2039","RCP 6.0","-20%","-4.40%"
"Beaver Creek","Lower","Age 1 Coho","2030-2039","RCP 6.0","+20%","-3.03%"
"Beaver Creek","Lower","Age 1 Coho","2030-2039","RCP 6.0","Mean","-3.66%"
"Beaver Creek","Lower","Age 1 Coho","2030-2039","RCP 8.5","-20%","-5.10%"
"Beaver Creek","Lower","Age 1 Coho","2030-2039","RCP 8.5","+20%","-3.18%"
"Beaver Creek","Lower","Age 1 Coho","2030-2039","RCP 8.5","Mean","-4.05%"
"Beaver Creek","Lower","Age 1 Coho","2060-2069","RCP 6.0","-20%","-9.91%"
"Beaver Creek","Lower","Age 1 Coho","2060-2069","RCP 6.0","+20%","-7.10%"
"Beaver Creek","Lower","Age 1 Coho","2060-2069","RCP 6.0","Mean","-8.39%"
"Beaver Creek","Lower","Age 1 Coho","2060-2069","RCP 8.5","-20%","-16.97%"
"Beaver Creek","Lower","Age 1 Coho","2060-2069","RCP 8.5","+20%","-12.75%"
"Beaver Creek","Lower","Age 1 Coho","2060-2069","RCP 8.5","Mean","-14.67%"
"Beaver Creek","Middle","Age 0 Chinook","2030-2039","RCP 6.0","-20%","-4.15%"
"Beaver Creek","Middle","Age 0 Chinook","2030-2039","RCP 6.0","+20%","-2.76%"
"Beaver Creek","Middle","Age 0 Chinook","2030-2039","RCP 6.0","Mean","-3.39%"
"Beaver Creek","Middle","Age 0 Chinook","2030-2039","RCP 8.5","-20%","-4.41%"
"Beaver Creek","Middle","Age 0 Chinook","2030-2039","RCP 8.5","+20%","-2.59%"
"Beaver Creek","Middle","Age 0 Chinook","2030-2039","RCP 8.5","Mean","-3.41%"
"Beaver Creek","Middle","Age 0 Chinook","2060-2069","RCP 6.0","-20%","-9.03%"
"Beaver Creek","Middle","Age 0 Chinook","2060-2069","RCP 6.0","+20%","-6.17%"
"Beaver Creek","Middle","Age 0 Chinook","2060-2069","RCP 6.0","Mean","-7.48%"
"Beaver Creek","Middle","Age 0 Chinook","2060-2069","RCP 8.5","-20%","-15.22%"
"Beaver Creek","Middle","Age 0 Chinook","2060-2069","RCP 8.5","+20%","-10.94%"
"Beaver Creek","Middle","Age 0 Chinook","2060-2069","RCP 8.5","Mean","-12.89%"
"Beaver Creek","Middle","Age 1 Coho","2030-2039","RCP 6.0","-20%","-3.55%"
